FAERS_drug_match,lookup_value
DOCU 150MG/15 ML HI TECH PHARMACAL,Maca
DOXORUBICIN    2MG/ML       MAYNEPHARMACANADA,Maca
FEMMENESSENCE MACA,Maca
FORLAX (MACAROGOL),Maca
GEMACALM,Maca
HCB APAP TABLETS 10/30MG -SOVEREIGN/BOCA PHARMACAL,Maca
HCL-TIMOLOL 6.8MG/ML HI-TECH PHARMACAL,Maca
HUMACAIN,Maca
HUMACAIN (OXYBUPROCAINE),Maca
HUMACAIN (OXYBUPROCAINE HYDROCHLORIDE),Maca
HUMACARPIN,Maca
HUMACART,Maca
"HUMACART 30% REGULAR, 70% NPH",Maca
"HUMACART 30% REGULAR, 70% NPH (HUMAN INSULIN (RDNA ORIGIN) 30% REGULAR",Maca
HUMACART 3/7,Maca
HUMACART 3/7 (INSULIN HUMAN),Maca
HUMACART 37 (INSULIN HUMAN (GENETICAL RECOMBINATION),Maca
HUMACART 3/7 (INSULIN HUMAN) (INSULIN HUMAN),Maca
HUMACART-HUMAN NPH INSULIN (RDNA) (HUMAN INSULIN (R,Maca
HUMACART-HUMAN REGULAR INSULIN (RDNA) (HUMAN INSULI,Maca
HUMACART (INSULIN HUMAN),Maca
HUMACART N,Maca
HUMACART-N,Maca
HUMACART N (AMV),Maca
HUMACART-N (INSULIN HUMAN),Maca
HUMACART-N(INSULIN HUMAN),Maca
HUMACART-N (INSULIN HUMAN) FORMULATION UNKNOWN,Maca
HUMACART-N (INSULIN HUMAN) INJECTION,Maca
HUMACART NPH,Maca
HUMACART R,Maca
HUMACART - R,Maca
HUMACART-R,Maca
HUMACART REGULAR,Maca
HUMACART REGULAR (HUMAN INSULIN (RDNA ORIGIN) REGULAR,Maca
"HUMACART REGULAR (HUMAN INSULIN (RDNA ORIGIN) REGULAR) PEN, DISPOSABLE",Maca
"HUMACART REGULAR(HUMAN INSULIN (RDNA ORIGIN) REGULAR) PEN,DISPOSABLE",Maca
HUMACART R (INSULIN HUMAN),Maca
HUMACART R (INSULIN HUMAN (GENETICAL RECOMBINATION),Maca
HUMPHREY'S TEETHING PELLETS HUMPHREYS PHARMACAL INC.,Maca
LACTINOL HX PEDINOL + PHARMACAL,Maca
LUMACAFTOR-IVACAFTOR,Maca
MACACY,Maca
MACACY A,Maca
MACACY-A,Maca
MACAFEM,Maca
MACAFEM PROBIOTIC CHEWS,Maca
MACAFEN,Maca
MACAINE,Maca
MACALCIN,Maca
MACALOL,Maca
MACALVIT,Maca
MACALVIT                           /00129401/,Maca
MACAPOPURAN,Maca
MACARDIS,Maca
MACARID,Maca
MACAS,Maca
NORMACALM,Maca
NORMACALM PLUS,Maca
OMACAR,Maca
"PAREGORIC LIQUID, USP  5ML/2MG ANHYDROUS MORPHINE  HI-TECH PHARMACAL",Maca
PEMACA,Maca
PHARMACAL D,Maca
PHARMACARE PARACETAMOL,Maca
POLY-VITAMIN DROPS W/IRON + 10 MG FERROUS SULFATE/ML HI-TECH PHARMACAL,Maca
POLY-VITAMIN DROPS W/IRON 10 MG FERROUS SULFATE/ML HI-TECH PHARMACAL C,Maca
PRIMACAINE ADRENALINE,Maca
PRIMACARE,Maca
PRIMACARE ONE,Maca
PRIMACARE ONE 500 MG OMEGA 3S AND 1MG FOLIC THER-RX CORP.,Maca
PRIMACARE ONE 500 MG THER-RX CORP.,Maca
PRIMACARE ONE CAPS THER-RX,Maca
PRIMACARE ONE -PRENATAL VIT-,Maca
PRIMACARE ONE (PRIMACARE),Maca
PRIMACARE ONE(R),Maca
PRIMACARE ( PRIMACARE) UNKNOWN,Maca
PRIMACARE (THER-TX CORPORATION),Maca
REMACAD,Maca
REMACADE,Maca
REMACAID,Maca
REMACAIDE,Maca
REPARAGEN PLUS GLUCOSAMINE (RNI-249-MACA (LEPIDIUM MYENII) HYPOCOTYLS,Maca
SAFECARE ASTHMACARE ORAL SPRAY 2 OZ,Maca
"SODIUM FLUORIDE DROPS 0.5MG / 1ML HI-TECH PHARMACAL CO., INC.",Maca
SPECTRO ECZEMACARE,Maca
STOMACAIN,Maca
TANNATE 12 S SUSPENSION HI-TECH PHARMACAL CO/ TARGET,Maca
THERAGESIC MAXIMUM STRENGTH MISSION PHARMACAL COMPANY,Maca
THERMACARE,Maca
THERMACARE BACK PAIN HEAT WRAP,Maca
THERMACARE BACK WRAP,Maca
THERMACARE HEAT PATCHES,Maca
THERMACARE HEATWRAP,Maca
THERMACARE HEATWRAPS,Maca
THERMACARE HEAT WRAPS,Maca
THERMACARE HEATWRAPS MULTIPURPOSE JOINT PAIN,Maca
THERMACARE KNEE WRAPS,Maca
THERMACARE LOWER BACK + HIP,Maca
THERMACARE MENSTRUAL,Maca
"THERMACARE NECK, SHOULDER + WRIST",Maca
"THERMACARE NECK, SHOULDER + WRIST HEAT WRAPS",Maca
THERMACARE NECK WRAP,Maca
THERMACARE SCHMERZGEL,Maca
THERMACARE ULTRA,Maca
THERMACARE WRAP,Maca
TIMACAR,Maca
TRAMACAT,Maca
TRAUMACAL,Maca
VALPROIC ACID 250 MG /5 ML HI-TECH PHARMACAL,Maca
ZOSTRIX HI-TECH PHARMACAL CO,Maca
BUTYL HYDROXYBENZOATE-CETYL ALCOHOL;PROPYLENE GLYCOL-SODIUM LAURYL SUL,Moringa
BUTYL HYDROXYBENZOATE W/CETYL ALCOHOL/PROPYLE,Moringa
CETAPHIL [BUTYL HYDROXYBENZOATE;CETYL ALCOHOL;PROPYLENE GLYCOL;SODIUM,Moringa
"CETAPHIL (CETYL ALCOHOL, PROPYLENE GLYCOL)",Moringa
CETAPHIL [CETYL ALCOHOL;PROPYLENE GLYCOL;SODIUM LAURYL SULFATE;STE,Moringa
CETAPHIL [CETYL ALCOHOL;PROPYLENE GLYCOL;SODIUM LAURYL SULFATE;STEARYL,Moringa
CETAPHIL [CETYL ALCOHOL\PROPYLENE GLYCOL\SODIUM LAURYL SULFATE\STEARYL ALCOHOL],Moringa
"CETAPHIL [CETYL ALCOHOL,PROPYLENE GLYCOL,STEARYL ALCOHOL]",Moringa
CETAPHIL [CETYL ALCOHOL;SODIUM LAURYL SULFATE],Moringa
CETAPHIL [CETYL ALCOHOL;SODIUM LAURYL SULFATE;STEARYL ALCOHOL],Moringa
CETAPHIL [CETYL ALCOHOL;TOCOPHERYL ACETATE],Moringa
CETAPHIL GENTLE SKIN CLEANSER [CETYL ALCOHOL;PROPYLENE GLYCOL;SODI,Moringa
CETAPHIL GENTLE SKIN CLEANSER [CETYL ALCOHOL;PROPYLENE GLYCOL;SODIUM L,Moringa
"CETAPHIL MOISTURIZING CREAM(ALMOND OIL, CETYL ALCOHOL, DIMETHICONE, GLYCERIN, PETROLATUM, PROPYLENE GLYCOL, VITAMIN E)",Moringa
"CETAPHIL (PROPYLENE GLYCOL, STEARYL ALCOHOL, CETYL ALCOHOL)",Moringa
CETAPHIL RESTORADERM CLEANSER (CETYL ALCOHOL;; PROPYLENE GLYCOL; STEAR,Moringa
CETAPHIL RESTORADERM CLEANSER (CETYL ALCOHOL; PROPYLENE GLYCOL;STEARYL,Moringa
CETYL ALCOHOL/D-ALPHA TOCOPHERYL ACETATE,Moringa
CETYL ALCOHOL/GLYCEROL/PARAFFIN,Moringa
CETYL ALCOHOL;TOCOPHEROL,Moringa
CETYL ALCOHOL;TOCOPHERYL ACETATE,Moringa
"PRAGMATAR (CETYL ALCOHOL, COAL TAR, SALICYLIC ACID, SULFUR) UNKNOWN",Moringa
"PRAGMATAR (SALICYLIC ACID, SULFUR, COAL TAR, CETYL ALCOHOL)",Moringa
QV [CETYL ALCOHOL;GLYCEROL;PARAFFIN],Moringa
ISOQUERCETIN,Moringa
"DIPROBASE (CETOMACROGOL/CETOSTEARYL ALCOHOL/PARAFFIN, LIQUID/WHITE SOF",Moringa
"DIPROBASE [CETOMACROGOL;CETOSTEARYL ALCOHOL;PARAFFIN, LIQUID;WHITE SOF",Moringa
"DIPROBASE (CETOMACROGOL, CETOSTEARYL ALCOHOL, PARAFFIN, LIQUID, WHITE SOFT PARAFFIN)",Moringa
"DIPROBASE CREAM (CETOMACROGOL, CETOSTEARYL ALCOHOL, PARAFFIN, LIQUID,",Moringa
"DIPROBASE CREAM (CETOSTEARYL ALCOHOL, PARAFIN, LIQUID, CETOMACROGOL, W",Moringa
"DIPROBASE CREAM (DIPROBASE) (CETOSTEARYL ALCOHOL, PARAFFIN, LIQUID, CETOMACROGOL, WHITE SOFT PARAFFIN)",Moringa
"DIPROBASE (DIPROBASE /01132701/) (UNKNOWN) (CETOSTEARYL ALCOHOL, PARAFFIN, LIQUID, CETOMACROGOL, WHITE SOFT PARAFFIN)",Moringa
"GLAXAL BASE (CETOMACROGOL 1000, CETOSTEARYL ALCOHOL, CHLOROCRESOL, PAR",Moringa
"OCULENTUM SIMPLEX (CETOSTEARYL ALCOHOL, WOOL FAT, PARAFFIN, PETROLATUM",Moringa
1-(4-METHYLPHENYL)ETHYLNICOTINATE 1-NAPHTHYLACETIC ACID,Niu bang zi
4-ACETYLAMINOPHENYLACETIC ACID,Niu bang zi
"ACETASOL (ACETIC ACID, BENZETHONIUM CHLORIDE, PROPYLENE GLYCOL DIACETA",Niu bang zi
"ACETASOL (ACETIC ACID, BENZETHONIUM CHLORIDE, SODIUM ACETATE, PROPYLEN",Niu bang zi
ACETIC ACID/ALUMINUM,Niu bang zi
ACETIC ACID-ALUMINUM ACETATE,Niu bang zi
ACETIC ACID AND HC OTIC,Niu bang zi
ACETIC ACID CALCIUM,Niu bang zi
ACETIC ACID DERIVATIVES AND RELATED SUBST.,Niu bang zi
ACETIC ACID EAR DROPS,Niu bang zi
ACETIC ACID OTIC SOLUTION 2 PERCENT,Niu bang zi
ACETIC ACID OTIC SOLUTION USP 2%,Niu bang zi
ACETIC ACID POTASSIUM,Niu bang zi
ACETIC ACID RINGER'S,Niu bang zi
ACETIC ACID RINGER'S SOLUTION (EUFUSOL),Niu bang zi
ACETIC ACID/TRIAMCINOLONE ACETONIDE,Niu bang zi
ACETIC ACID W/ALUM ACET,Niu bang zi
ACETIC ACID W/ALUMINIUM ACETATE,Niu bang zi
ACETIC ACID W/TRIAMCINOLONE ACETONIDE,Niu bang zi
ACETYLACETIC ACID,Niu bang zi
ACETYLSALICYLATE LYSINE/AMINOACETIC ACID,Niu bang zi
ACETYLSALICYLIC ACID/AMINOACETIC ACID,Niu bang zi
ACETYLSALICYLIC ACID W/AMINOACETIC ACID,Niu bang zi
"ACID JELLY GEL (ACETIC ACID, RICINOLEIC ACID, HYDROXYQUINOLINE)",Niu bang zi
"AFRIN (AMINOACETIC ACID, BENZALKONIUM CHLORIDE, OXYMETAZOLINE HYDROCHL",Niu bang zi
AFRIN (AMINOACETIC ACID/BENZALKONIUM CHLORIDE/OXYMETAZOLINE HYDROCHLOR,Niu bang zi
"AFRIN (AMINOACETIC ACID, PHENYLMERCURIC ACETATE, OXYMETAZOLINE HYDROCH",Niu bang zi
"AFRIN / OLD FORM/ (SORBITOL, AMINOACETIC ACID, PHENYLMERCURIC ACETATE,",Niu bang zi
"AMICALIQ (GLUCOSE, AMINOACETIC ACID, ALANINE, SERINE, ASPARTIC ACID, TYROSINE, LEUCINE, METHIONINE, PHENYLALANINE, HISTIDINE, SODIUM LACTATE, VALINE, THREONINE, TRYPTOPHAN, L-, ISOLEUCINE, ARGININE, PROLINE, DL- LACTIC ACID, LYSINE HYDROCHLORIDE, ARGININE HYDROCHLORIDE, POTASSIUM CHLORIDE,",Niu bang zi
AMINOACETIC ACID/ARGININE/HISTIDINE/ISOLEUCINE/LEUCINE/LYSINE/METHIONINE/PHENYLALANINE/THREONINE/TRY,Niu bang zi
AMINOACETIC ACID / BENZALKONIUM CHLORIDE,Niu bang zi
"AMINOACETIC ACID, CYSTEINE, GLYCYRRHIZIC ACID",Niu bang zi
AMINOACETIC ACID/CYSTEINE/GLYCYRRHIZIC ACID,Niu bang zi
"AMINOACETIC ACID/CYSTEINE/GLYCYRRHIZIC ACID, AMMONIUM SALT",Niu bang zi
AMINOACETIC ACID/DL-METHIONINE/GLYCYRRHIZIC ACID,Niu bang zi
AMINOACETIC ACID/GLYCYRRHIZIC ACID,Niu bang zi
AMINOACETIC ACID/IMMUNOGLOBULIN HUMAN NORMAL/MALTOSE,Niu bang zi
"AMINO ACETIC ACID, L-THREONINE, N-ACETYL-L",Niu bang zi
AMINOACETIC ACID/PROLINE,Niu bang zi
"AMINOLEBAN EN (ALANINE, AMINOACETIC ACID, ARGININE HYDROCHLORIDE, ISOL",Niu bang zi
"AMINOLEBAN EN (ALANINE, AMINOACETIC ACID, ARGINNIE HYDROCHLORIDE, ISOL",Niu bang zi
"AMINOLEBAN EN (AMINOACETIC ACID, ALANINE, METHIONINE, PHENYLALANINE ..",Niu bang zi
"AMINOLEBAN EN (AMINOACETIC ACID, ALANINE, METHIONINE, PHENYLALANINE, T",Niu bang zi
"AMIPAREN /01983901/ (ALANINE, AMINOACETIC ACID, ARGININE, ASPARTIC ACI",Niu bang zi
"AMIPHARGEN P (AMINOACETIC ACID, CYSTEINE HYDROCHLORIDE, GLYCERRHIZIC A",Niu bang zi
"ANTACID (AMINOACETIC ACID, CALCIUM CARBONATE)",Niu bang zi
ANTICOAGULANT ETHYLENEDIAMINE TETRAACETIC ACID (EDTA),Niu bang zi
ARYLOXYACETIC ACID DERIVATIVES,Niu bang zi
"ASPEGIC (ACETYLSALICYLATE LYSINE, AMINOACETIC ACID)",Niu bang zi
"ASPEGIC (AMINOACETIC ACID, ACETYLSALICYLATE LYSINE)",Niu bang zi
ASPEGIC [AMINOACETIC ACID\ACETYLSALICYLATE LYSINE],Niu bang zi
"ASPEGIC BABY (ACETYLSALICYLATE LYSINE, AMINOACETIC ACID)",Niu bang zi
"ASPEGIC BABY(ACETYLSALICYLATE LYSINE, AMINOACETIC ACID)",Niu bang zi
"ASPEGIC BABY (ACETYLSALICYLATE LYSINE/AMINOACETIC ACID, , 0)",Niu bang zi
"ASPEGIC BABY (ACETYLSALICYLATE LYSINE/AMINOACETIC ACID,,0)",Niu bang zi
"ASPEGIC BABY (AMINOACETIC ACID, ACETYLSALICYLATE LYSINE)",Niu bang zi
"ASPEGIC BABY(AMINOACETIC ACID, ACETYLSALICYLATE LYSINE)",Niu bang zi
"ASPEGIC /CH/ (ACETYLSALICYLATE LYSINE, AMINOACETIC ACID)",Niu bang zi
AURALGAN (ACETIC ACID (+) ANTIPYRINE (+) BENZOCAINE (+) GLYCERIN (+) P,Niu bang zi
COMPOUND GLYCYRRHIZIN (AMINOACETIC ACID/CYSTEINE HYDROCHLORIDE/GLYCYRR,Niu bang zi
COMPOUND GLYCYRRHIZIN (AMINOACETIC ACID/MONOAMMONIUM GLYCYRRHIZINATE/M,Niu bang zi
COMPOUND GLYCYRRHIZIN INJECTION (AMINOACETIC ACID/CYSTEINE HYDROCHLORI,Niu bang zi
"CYSTEINE, AMINOACETIC ACID, GLYCYRRHIZIC ACID (STRONG NEO-MINOPHAGEN C",Niu bang zi
CYSTEINE/GLYCYRRHIZIC ACID/AMINOACETIC ACID,Niu bang zi
"DEXAMETHASONE, GLACIAL ACETIC ACID, NEOMYCIN SULFATE, NEOMYCIN SULPHAT",Niu bang zi
DEXAMETHASONE + GLACIAL ACETIC ACID + NEOMYCIN SULPHATE (OTOMIZE),Niu bang zi
DIACETYLACETIC ACID ETHYLENEDIAMINE,Niu bang zi
DICHLORACETIC ACID 100% DELASCO/LOT # 73102E,Niu bang zi
"DL-METHIONINE, CALCIUM CARBONATE, AMINOACETIC ACID)",Niu bang zi
"FERRO SANOL (AMINOACETIC ACID, FERROUS SULFATE)",Niu bang zi
FERRO SANOL (AMINOACETIC ACID/FERROUS SULFATE),Niu bang zi
"FERRO SANOL DUODENAL (AMINOACETIC ACID, FERROUS SULFATE)",Niu bang zi
FERRO-SANOL DUODENAL (FERRO SANOL  DUODENAL- AMINOACETIC ACID/FERROUS,Niu bang zi
"FERRO ^SANOL^ /OLD FORM  (AMINOACETIC ACID, FERROUS SULFATE)",Niu bang zi
GADOLINIUM DIETHYLENETRIAMINEPENTAACETIC ACID (GD-DTPA),Niu bang zi
GADOLINIUM DIETHYLENETRIAMINOPENTAACETIC ACID,Niu bang zi
"GALLE DONAU (NICOTINIC ACID, ANPHTHYLACETIC ACID)",Niu bang zi
GALLE DONAU (NICOTINIC ACID. NAPHTHYL ACETYLACETIC ACID),Niu bang zi
GLUCOSE/GLYCINE/ALANINE/SERINE/ASPARTIC ACID/LYSINE/LEUCINE/METHIONINE/PHENYLALANINE/ACETIC ACID/HIS [NUTRIFLEX],Niu bang zi
GLYCINE (AMINOACETIC ACID) INJECTION,Niu bang zi
"GLYCYRON (AMINOACETIC ACID, DL-METHIONINE, GLYCYRHIZIC ACID)",Niu bang zi
GLYCYRON (AMINOACETIC ACID/DL-METHIONINE/GLYCYRRHIZIC ACID),Niu bang zi
"GLYCYRON [AMINOACETIC ACID,DL?METHIONINE,GLYCYRRHIZIC ACID]",Niu bang zi
"GLYCYRON (GLYRRHIZIC ACID, DL-METHINONINE, AMINOACETIC ACID)",Niu bang zi
"GLYCYRON (G;YCYRRHIZIC ACDI, AMINOACETIC ACID)",Niu bang zi
GLYCYRRHIZIN + AMINOACETIC ACID + L-CYSTEINE HYDROCHLORIDE,Niu bang zi
"GLYCYRRHIZIN/GLYCINE/L-CYSTEINE HYDROCHLORIDE (AMINOACETIC ACID, CYSTE",Niu bang zi
"GLYPHAGEN C (AMINOACETIC ACID, CYSTEINE, GLYCYRRHIZIC ACID)",Niu bang zi
"GODAMED                      (ACETYLSALICYLIC ACID, AMINOACETIC ACID)",Niu bang zi
"GODAMED (ACETYLSALICYLIC ACID, AMINOACETIC ACID)",Niu bang zi
GODAMED (ACETYLSALICYLIC ACID/AMINOACETIC ACID),Niu bang zi
"GODAMED(ACETYLSALICYLIC ACID, AMINOACETIC ACID)",Niu bang zi
HYDROCORTISONE-ACETIC ACID,Niu bang zi
HYDROCORTISONE-ACETIC ACID DROPS 2%-1%,Niu bang zi
"INYESPRIN INYECTABLE (ACETYLSALICYLATE LYSINE, AMINOACETIC ACID)",Niu bang zi
"IRM (ZINC OXIDE; POLY(ETHYLACRYLATE, METHYLMETHACRYLATE) 2:1; EUGENOL; ACETIC ACID)",Niu bang zi
"KEBERA S (GLYCYRRHIZIC ACID, CYSTEINE, AMINOACETIC ACID)",Niu bang zi
"KYOMINOTIN (AMINOACETIC ACID, CYSTEINE, GLYCYRRHIZIC ACID)",Niu bang zi
MAINTENANCE MEDIUM WITH ACETIC ACID,Niu bang zi
MAINTENANCE MEDIUM WITH ACETIC ACID AND GLUCOSE,Niu bang zi
MAINTENANCE MEDIUM WITH ACETIC ACID (WITH GLUCOSE),Niu bang zi
MAINTENANCE MEDIUM WITH ACETIC ACID(WITH GLUCOSE),Niu bang zi
"MICROLAX (DODECYL SULFOACETIC ACID, GLYCERIN, LAURETH 9, SODIUM CITRAT",Niu bang zi
"MICROLAX (DODECYL SULFOACETIC ACID, GLYCERIN, LAURETH 9 SODIUM CITRATE",Niu bang zi
"MINOPHAGEN C (AMINOACETIC ACID, GLYCYRRHIZIC ACID)",Niu bang zi
MINOPHAGEN C (AMINOACETIC ACID/GLYCYRRHIZIC ACID),Niu bang zi
MONOAMMONIUM GLYCYRRHIZINATE/GLYCINE/AMINOACETIC ACID/DL-METHIONINE,Niu bang zi
MONOCHLORACETIC ACID,Niu bang zi
"NEOAMIYU (ALANINE, AMINOACETIC ACID, ARGININE,  ASPARTIC ACID, GLUTAMI",Niu bang zi
"NEO MINOPHAGEN C (AMINOACETIC ACID, CYSTEINE HYDROCHLORIDE, GLYCYRRHIZ",Niu bang zi
"NEOPHAGEN-1 (AMINOACETIC ACID, CALCIUM CARBONATE, DL-METHIONINE, GLYCY",Niu bang zi
"NEOPHAGEN (AMINOACETIC ACID, CYSTEINE HYDROCHLORIDE)",Niu bang zi
NUTRIFLEX [ACETIC ACID;ALANINE;AMINO ACIDS NOS;ARGININE;ASPARTIC ACID;,Niu bang zi
NUTRIFLEX ^BRAUN^ (ACETIC ACID W/ALANINE/AMINO ACIDS NOS/ARGININ),Niu bang zi
OTOCORT (NEOMYCIN SULFATE+DEXAMETHASONE+ACETIC ACID),Niu bang zi
OTOMIZE (ACETIC ACID (+) DEXAMETHASONE (+) NEOMYCIN SULFATE),Niu bang zi
"OTOMIZE (DEXAMETHASONE, GLACIAL ACETIC ACID, NEOMYCIN SULFATE)",Niu bang zi
"OTOMIZE (DEXAMETHASONE, GLACIAL ACETIC ACID, NEOMYCIN SULPHATE)",Niu bang zi
"OTOMIZE (DEXAMETHASONE, NEOMYCIN SULPHATE, GLACIAL ACETIC ACID)",Niu bang zi
OTOMIZE EAR SPRAY (ACETIC ACID + DEXAMETHASONE + NEOMYCIN SULFATE),Niu bang zi
"PARAPROST [AMINOACETIC ACID,BETA-ALANINE,GLUTAMIC ACID]",Niu bang zi
"PAYNOCIL (ACETYLSALICYLIC ACID, AMINOACETIC ACID)",Niu bang zi
PHENYLMERCURIC ACETATE AND AMINOACETIC ACID AND SORBITOL AND OXYMETAZO,Niu bang zi
"POLYRHITIN N (AMINOACETIC ACID, DL-METHIONINE, GLYCYRRHIZA GLABRA EXTR",Niu bang zi
"PROTEAMIN 12X (AMINOACETIC ACID, XYLITOL, ASPARTIC ACID, AMINO ACIDS N",Niu bang zi
SEPTOPAL (AMINOACETIC ACID/GENTAMICIN SULFATE/POLYMETHYLMETHACRYLATE/Z,Niu bang zi
SIBONEET (AMINOACETIC ACID/CHLOROPHYLLIN SODIUM COPPER COMPLEX/GLYCYRR,Niu bang zi
SOLUVIT N [ACETIC ACID;ASCORBIC ACID;1 BIOTIN;CYANOCOBALAMIN;FOLIC ACID;,Niu bang zi
SOLUVIT N [ACETIC ACID;ASCORBIC ACID;BIOTIN;CYANOCOBALAMIN;FOLIC ACID;,Niu bang zi
"SORBITOL (ACETIC ACID, SORBITOL)",Niu bang zi
"STRONGER NEO-MINOPHAGEN C (AMINOACETIC ACID, CYSTEINE, GLYCYRRHIZIC AC",Niu bang zi
"STRONGER NEO MINOPHAGEN C (AMINOACETIC ACID, GLYCYRRHIZIC ACID, CYSTEI",Niu bang zi
"STRONGER NEO-MINOPHAGEN C (CYSTEINE, AMINOACETIC ACID, GLYCYRRHIZIC AC",Niu bang zi
"STRONG HOKUPHAGEN (AMINOACETIC ACID, CYSTEINE, GLYCYRRHIZIC ACID, AMMO",Niu bang zi
"STRONG NEO-MINOPHABEN C (AMINOACETIC ACID, CYSTEINE, GLYCYRRHIZIC ACID",Niu bang zi
"STRONG NEO-MINOPHAGEN C            (AMINOACETIC ACID, CYSTEINE, GLYCYR",Niu bang zi
"STRONG (NEO-MINOPHAGEN C (AMINOACETIC ACID, CYSTEINE, GLYCYRRHIZIC ACI",Niu bang zi
"STRONG NEO-MINOPHAGEN C (AMINOACETIC ACID, CYSTEINE, GLYCYRRHIZIC ACID",Niu bang zi
STRONG NEO-MINOPHAGEN C (AMINOACETIC ACID/CYSTEINE/GLYCYRRHIZIC ACID),Niu bang zi
"STRONG NEO-MINOPHAGEN C (AMINOACETIC ACID, GLYCYRRHIZIC ACID, CYSTEINE",Niu bang zi
"STRONG NEO-MINOPHAGEN C (CYSTEINE, AMINOACETIC ACID GLYCYRRHIZIC ACID)",Niu bang zi
"STRONG NEO-MINOPHAGEN C (CYSTEINE, AMINOACETIC ACID, GLYCYRRHIZIC ACID",Niu bang zi
"STRONG NEO-MINOPHAGEN C (GLYCYRRHIZIC ACID, AMINOACETIC ACID, CYSTEINE",Niu bang zi
"TEBETANE COMPUESTO (ALANINE, AMINOACETIC ACID, GLUTAMIC ACID, PYGEUM A",Niu bang zi
"THYMOGLOBULIN (AMINOACETIC ACID, ANTITHYMOCTE IMMUNOGLOBULIN, MANNITOL",Niu bang zi
"TITRALAC /00183701/ (AMINOACETIC ACID, CALCIUM CARBONATE)",Niu bang zi
TITRALAC (AMINOACETIC ACID),Niu bang zi
"TITRALAC (AMINOACETIC ACID, CALCIUM  CARBONATE)",Niu bang zi
"TITRALAC (AMINOACETIC ACID, CALCIUM CARBONATE)",Niu bang zi
"TITRALAC (AMINOACETIC ACID, CALCIUM CARBONATE) UNKNOWN",Niu bang zi
TOLYNICATE AND NAPHTHYLACETIC ACID TABLETS,Niu bang zi
TRISOL [ACETIC ACID;ALANINE;ARGININE;ASPARTIC ACID;CYSTEINE;GLUTAMIC A,Niu bang zi
"TWINPAL (GLUCOSE, CYSTEINE, AMINOACETIC ACID, ALANINE SERINE, ASPARTIC",Niu bang zi
VEEN 3G (MAINTENANCE MEDIUM WITH ACETIC ACID WITH GLUCOSE) INJECTION,Niu bang zi
VI PEEL (ASCORBIC ACID\PHENOL\TRETINOIN\TRICHLOROACETIC ACID\SALICYLIC ACID),Niu bang zi
"VIVIN C [ACETYLSALICYLIC ACID,AMINOACETIC ACID,ASCORBIC ACID]",Niu bang zi
4-AMINO-3-HYDROXYBUTYRIC ACID,Niu bang zi
4-AMINO-3-HYDROXYBUTYRIC ACID + DIAZEPAM,Niu bang zi
4-AMINO-3-HYDROXYBUTYRIC ACID/GAMMA-AMINOBUTYRIC ACID/MAGNESIUM GLUTAM,Niu bang zi
4-AMINOBUTYRIC ACID,Niu bang zi
AMINOPHENYLBUTYRIC ACID,Niu bang zi
BUTYRIC ACID BACTERIA AGENT,Niu bang zi
BUTYRIC ACID BACTERIUM AGENT,Niu bang zi
"DORKEN (4-AMINO-3-HYDORXYBUTYRIC ACID, CLORAZEPATE DIPOTASSIUM, PYRIDO",Niu bang zi
GABA [GAMMA-AMINOBUTYRIC ACID],Niu bang zi
GABE-AMINOBUTYRIC ACID,Niu bang zi
.GAMMA.-AMINO-.BETA.-HYDROXYBUTYRIC ACID.,Niu bang zi
GAMMA AMINO BETA HYDROXYBUTYRIC ACID,Niu bang zi
GAMMA-AMINO-BETA-HYDROXYBUTYRIC ACID,Niu bang zi
GAMMA AMINO BUTYRIC ACID,Niu bang zi
GAMMA AMINOBUTYRIC ACID,Niu bang zi
GAMMA?AMINOBUTYRIC ACID,Niu bang zi
GAMMA-AMINOBUTYRIC ACID W/NICOTINIC ACID,Niu bang zi
GAMMA HYDROXY BUTYRIC ACID,Niu bang zi
GAMMA HYDROXYBUTYRIC ACID,Niu bang zi
GAMMA-HYDROXYBUTYRIC ACID,Niu bang zi
GAMMA?HYDROXYBUTYRIC ACID,Niu bang zi
GAMMA HYDROXYBUTYRIC ACID (ECSTASY),Niu bang zi
GAMMA-HYDROXYBUTYRIC ACID (GHB),Niu bang zi
GHB (GAMMA-HYDROXYBUTYRIC ACID),Niu bang zi
OTHER TYPES OF GAMMA AMINOBUTYRIC ACID ANTICONVULSANT,Niu bang zi
PHENIBUT/AMINOPHENYLBUTYRIC ACID,Niu bang zi
ANGI SPRAY (CHLOROBUTANOL (+) HEXETIDINE (+) PROPIONIC ACID),Niu bang zi
"ANGI SPRAY, COLLUTOIRE [CHLOROBUTANOL\HEXETIDINE\PROPIONIC ACID]",Niu bang zi
VITAMIN D2 (ERGOSTEROL),Reishi
ARABINOGALACTAN / CAMPESTEROL / SITOSTEROL / STIGMASTEROL,Scrub-palmetto
ALPHA-CAPROIC ACID,Scrub-palmetto
"AMINOCAPROIC ACID 5,000 MG (LGM/HR) + SODIUM CHLORIDE 0.9%",Scrub-palmetto
AMINOCAPROIC ACID 5G/20 ML AMERICAN REGENT,Scrub-palmetto
AMINOCAPROIC ACID/AMINOCAPROICATE,Scrub-palmetto
AMINOCAPROIC ACID AND SODIUM CHLORIDE,Scrub-palmetto
AMINOCAPROIC ACID INJECTION 250MG/ML,Scrub-palmetto
AMINOCAPROIC ACID W/AMMONIUM CHLORIDE/GUAIFEN,Scrub-palmetto
