"name"	"latin_binomial"
CAPSELLA RAMSELENSIS WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA MATURA WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA AESTIVALIS WHOLE	CAPSELLA BURSA-PASTORIS
OPIZIA BURSOIDES WHOLE	CAPSELLA BURSA-PASTORIS
QI	CAPSELLA BURSA-PASTORIS
CAPSELLA SUBCAVATA WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA ALTISSIMA WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA LATISILIQUA WHOLE	CAPSELLA BURSA-PASTORIS
BURSA ORIGO WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA GALLICA WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA KYPHOSA WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA FAUCIALIS WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA STENOCARPA WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA SUBCANESCENS WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA AUTUMNALIS WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA CORONCPUS WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA BELGICA WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA PATAGONICA WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA BIFORMIS WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA FRIGIDA WHOLE	CAPSELLA BURSA-PASTORIS
BURSA GALLICA WHOLE	CAPSELLA BURSA-PASTORIS
BURSA BELGICA WHOLE	CAPSELLA BURSA-PASTORIS
BURSA CONCAVA WHOLE	CAPSELLA BURSA-PASTORIS
BURSA BREMENSIS WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA RHENANA WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA TENERA WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA BIFIDA WHOLE	CAPSELLA BURSA-PASTORIS
SHEPHERDSPURSE WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA PINNATOFOLIOSA WHOLE	CAPSELLA BURSA-PASTORIS
NASTURTIUM BURSA-PASTORIS WHOLE	CAPSELLA BURSA-PASTORIS
BURSA INTEGRELLA WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA LONGISILIQUA WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA PERVERSA WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA GROSSA WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA VIARIA WHOLE	CAPSELLA BURSA-PASTORIS
BURSA SINUOSA WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA TJUSTIANA WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA RUBELLA	CAPSELLA BURSA-PASTORIS
CAPSELLA ALANDICA WHOLE	CAPSELLA BURSA-PASTORIS
THLASPI BURSA-PASTORIS WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA RHOMBEA WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA AGRESTIS-RUBELLA WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA EXOTICA WHOLE	CAPSELLA BURSA-PASTORIS
BURSA ABSCISSA WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA CURVISILIQUA WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA LOBULATA WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA BRITTONII WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA DENTATA WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA CUSPIDATA WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA POIMENOBALANTION WHOLE	CAPSELLA BURSA-PASTORIS
SHEPHERD'S PURSE	CAPSELLA BURSA-PASTORIS
BURSA HEEGERI WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA ROBUSTA WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA HIANS WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA CALMARIENSIS WHOLE	CAPSELLA BURSA-PASTORIS
SHEPHERDSPURSE	CAPSELLA BURSA-PASTORIS
CAPSELLA CUNEOLATA WHOLE	CAPSELLA BURSA-PASTORIS
BURSA VIMINALIS WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA CAVATA WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA SEMILOBATA WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA GALICICA WHOLE	CAPSELLA BURSA-PASTORIS
THLASPI BURSETTA WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA VIRIDIS WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA ERECTA WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA ANGUSTILOBA WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA BICUSPIS WHOLE	CAPSELLA BURSA-PASTORIS
CRUCIFERA CAPSELLA WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA HERJEDALICA WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA GOTHICA WHOLE	CAPSELLA BURSA-PASTORIS
SHEPARDSPURSE	CAPSELLA BURSA-PASTORIS
CAPSELLA ABSCISSA WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA TRIANGULARIS WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA MICROCARPA WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA COMPACTA WHOLE	CAPSELLA BURSA-PASTORIS
BURSA GROSSA WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA LAXA WHOLE	CAPSELLA BURSA-PASTORIS
BURSA PATAGONICA WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA HEEGERI WHOLE	CAPSELLA BURSA-PASTORIS
SHEPHERD'S-PURSE	CAPSELLA BURSA-PASTORIS
CAPSELLA BOTTNICA WHOLE	CAPSELLA BURSA-PASTORIS
BURSA LAEVIGATA WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA INTEGRELLA WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA RUBELLIFORMIS WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA HISPIDA WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA BREVISILIQUA WHOLE	CAPSELLA BURSA-PASTORIS
THLASPI POLYMORPHUM WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA PRAEMATURA WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA DENTICULATA WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA SAVONICA WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA LANCEOLATOCASPICA WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA MACROCLADA WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA FOLIOSA WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA HUMILIS WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA TENERESCENS WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA PENARTHAE WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA SCANICA WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA RUBELLA WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA BURSA-PASTORIS WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA CUNEIFORMIS WHOLE	CAPSELLA BURSA-PASTORIS
THLASPI INFESTUM WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA INCISURA WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA PERCONCAVA WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA LENAENSIS WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA VESTROGOTHICA WHOLE	CAPSELLA BURSA-PASTORIS
SHEPHERD'S PURSE [HOC]	CAPSELLA BURSA-PASTORIS
IBERIS BURSA-PASTORIS WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA EMARGINATA WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA LINEARIS WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA GERMANICA WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA DIODONTA WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA SALINULA WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA OBTUSA WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA AUSTRIACA WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA MONASTERIALIS WHOLE	CAPSELLA BURSA-PASTORIS
BURSA MEDITERRANEA WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA SMOLANDICA WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA LUTETIANA WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA BURSA-PASTORIS	CAPSELLA BURSA-PASTORIS
CAPSELLA JENISEIENSIS WHOLE	CAPSELLA BURSA-PASTORIS
BURSA OCCIDENTALIS WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA GROSSOTRIANGULARIS WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA GRACILESCENS WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA TREVIRORUM WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA SCOLIOCASPICA WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA OVICULATA WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA HIATULA WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA NANELLA WHOLE	CAPSELLA BURSA-PASTORIS
BURSA BRITTONII WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA DIVARICATA WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA OBOVATA WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA LAEVIGATA WHOLE	CAPSELLA BURSA-PASTORIS
THLASPI BURSA-PASTORIS [HPUS]	CAPSELLA BURSA-PASTORIS
CAPSELLA JEMTLANDICA WHOLE	CAPSELLA BURSA-PASTORIS
BURSA HIATULA WHOLE	CAPSELLA BURSA-PASTORIS
BURSA PENARTHAE WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA SEMIRUBELLA WHOLE	CAPSELLA BURSA-PASTORIS
BURSA GRACILIS	CAPSELLA BURSA-PASTORIS
CAPSELLA PERDENTATA WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA SUBSELENIACA WHOLE	CAPSELLA BURSA-PASTORIS
THLASPI CUNEATUM WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA PROVINCIALIS WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA PASTORIS WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA NYLANDICA WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA OVIFERA WHOLE	CAPSELLA BURSA-PASTORIS
BURSA ORIENTALIS WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA SABULOSA WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA OELANDICA WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA PERHIANS WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA SINUOSA WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA ANGLICA WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA SUBALGIDA WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA RUBIGINOSA WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA COLLINA WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA HELSINGICA WHOLE	CAPSELLA BURSA-PASTORIS
BURSA DIVARICATA WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA FURCATA WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA URSINA WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA LEPTOLOBA WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA BURSA-PASTORIS (L.) MEDIKUS [EMA HERBAL SUBSTANCE]	CAPSELLA BURSA-PASTORIS
CAPSELLA BURSA PASTORIS	CAPSELLA BURSA-PASTORIS
CAPSELLA BREMENSIS WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA ANGERMANNICA WHOLE	CAPSELLA BURSA-PASTORIS
BURSA TREVIRORUM WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA DRUCEANA WHOLE	CAPSELLA BURSA-PASTORIS
BURSAE PASTORIS HERBA [EMA HERBAL SUBSTANCE]	CAPSELLA BURSA-PASTORIS
CAPSELLA ODONTOPHYLLA WHOLE	CAPSELLA BURSA-PASTORIS
BURSA TURONIENSIS WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA SUBBERGIANA WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA BATAVORUM WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA AMBLODES WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA CONVEXIFORMIS WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA VARIA WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA LULENSIS WHOLE	CAPSELLA BURSA-PASTORIS
RODSCHIEDIA BURSA-PASTORIS WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA PINNATA WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA FUCORUM WHOLE	CAPSELLA BURSA-PASTORIS
BURSA ALANDICA WHOLE	CAPSELLA BURSA-PASTORIS
LEPIDIUM BURSA-PASTORIS WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA VIRGATA WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA ALGIDA WHOLE	CAPSELLA BURSA-PASTORIS
BURSA PERGROSSA WHOLE	CAPSELLA BURSA-PASTORIS
BURSA DRUCEANA WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA ALPESTRIS WHOLE	CAPSELLA BURSA-PASTORIS
BURSA SUBLAEVIGATA WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA BURSA-PASTORIS [WHO-DD]	CAPSELLA BURSA-PASTORIS
CAPSELLA HIEMALIS WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA TENELLA WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA VIGUIERI WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA ORIGO WHOLE	CAPSELLA BURSA-PASTORIS
BURSA GERMANICA WHOLE	CAPSELLA BURSA-PASTORIS
BURSA BURSA-PASTORIS WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA APETALA WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA CORDATA WHOLE	CAPSELLA BURSA-PASTORIS
BURSA ROBUSTA WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA RUBELLOAGRESTIS WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA GOTLANDICA WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA SINUATOLINEARIS WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA HYRCANA WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA DIFFORMIS WHOLE	CAPSELLA BURSA-PASTORIS
BURSA SEGETUM WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA RUDERALIS WHOLE	CAPSELLA BURSA-PASTORIS
THLASPI SCHRANKII WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA AGRESTIS WHOLE	CAPSELLA BURSA-PASTORIS
BURSA ANGLICA WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA VIMINALIS WHOLE	CAPSELLA BURSA-PASTORIS
BURSA BATAVORUM WHOLE	CAPSELLA BURSA-PASTORIS
REQUIN BOULEDOGUE WHOLE	CARCHARHINUS LEUCAS
GALEOLAMNA STEVENSI WHOLE	CARCHARHINUS LEUCAS
ESTUARY WHALER SHARK WHOLE	CARCHARHINUS LEUCAS
PRIONODON PLATYODON WHOLE	CARCHARHINUS LEUCAS
GALEOLAMNA LEUCAS WHOLE	CARCHARHINUS LEUCAS
SQUALUS PLATYODON WHOLE	CARCHARHINUS LEUCAS
CARCHARIAS ZAMBEZENSIS WHOLE	CARCHARHINUS LEUCAS
CUB SHARK WHOLE	CARCHARHINUS LEUCAS
CARCHARHINUS VANROOYENI WHOLE	CARCHARHINUS LEUCAS
HERVEY BAY WHALER SHARK WHOLE	CARCHARHINUS LEUCAS
CARCHARHINUS AMBOINENSIS WHOLE	CARCHARHINUS LEUCAS
CARCHARHINUS NICARAGUENSIS WHOLE	CARCHARHINUS LEUCAS
CARCHARHINUS LEUCAS (MULLER AND HENLE, 1839)	CARCHARHINUS LEUCAS
CARCHARIAS SPENCERI WHOLE	CARCHARHINUS LEUCAS
EULAMIA NICARAGUENSIS WHOLE	CARCHARHINUS LEUCAS
CARCHARHINUS LEUCAS WHOLE	CARCHARHINUS LEUCAS
SQUALUS OBTUSUS WHOLE	CARCHARHINUS LEUCAS
CARCHARHINUS ZAMBEZENSIS WHOLE	CARCHARHINUS LEUCAS
SWAN RIVER WHALER WHOLE	CARCHARHINUS LEUCAS
CARCHARHINUS AZUREUS WHOLE	CARCHARHINUS LEUCAS
CARCHARIAS AZUREUS WHOLE	CARCHARHINUS LEUCAS
SWAN RIVER WHALER SHARK WHOLE	CARCHARHINUS LEUCAS
CARCHARIAS LEUCAS WHOLE	CARCHARHINUS LEUCAS
FRESHWATER WHALER WHOLE	CARCHARHINUS LEUCAS
ZAMBEZI SHARK WHOLE	CARCHARHINUS LEUCAS
BULL SHARK WHOLE	CARCHARHINUS LEUCAS
GALEOLAMNA BOGIMBA WHOLE	CARCHARHINUS LEUCAS
RIVER WHALER SHARK WHOLE	CARCHARHINUS LEUCAS
GALEOLAMNA MCKAILI WHOLE	CARCHARHINUS LEUCAS
CARPINUS CAROLINIANA WALTER	CARPINUS CAROLINIANA
AMERICAN HORNBEAM WHOLE	CARPINUS CAROLINIANA
CARPINUS CAROLINIANA WHOLE	CARPINUS CAROLINIANA
ATRACTYLIS PILOSA WHOLE	CARTHAMUS LANATUS
ATRACTYLIS FUSUS-AGRESTIS WHOLE	CARTHAMUS LANATUS
WOOLLY DISTAFF THISTLE WHOLE	CARTHAMUS LANATUS
ATRACTYLIS LEUCOCEPHALA WHOLE	CARTHAMUS LANATUS
CARTHAMUS ELATUS WHOLE	CARTHAMUS LANATUS
CARTHAMUS TAURICUS WHOLE	CARTHAMUS LANATUS
ANACTIS PILOSA WHOLE	CARTHAMUS LANATUS
KENTROPHYLLUM TURBINATUM WHOLE	CARTHAMUS LANATUS
KENTROPHYLLUM ELATUM WHOLE	CARTHAMUS LANATUS
CALCITRAPA LANUGINOSA WHOLE	CARTHAMUS LANATUS
ATRACTYLIS LANATA WHOLE	CARTHAMUS LANATUS
CARTHAMUS EXSUCCUS WHOLE	CARTHAMUS LANATUS
CARDUUS ATTRACTYLIS WHOLE	CARTHAMUS LANATUS
CARTHAMUS ALBUS WHOLE	CARTHAMUS LANATUS
CARDUNCELLUS LANATUS WHOLE	CARTHAMUS LANATUS
KENTROPHYLLUM TAURICUM WHOLE	CARTHAMUS LANATUS
KENTROPHYLLUM LANATUM WHOLE	CARTHAMUS LANATUS
CARTHAMUS LANATUS WHOLE	CARTHAMUS LANATUS
CARTHAMUS TURBINATUS WHOLE	CARTHAMUS LANATUS
CENTAUREA LANATA WHOLE	CARTHAMUS LANATUS
CARTHAMUS MACEDONICUS WHOLE	CARTHAMUS LANATUS
ATRACTYLIS LUTEA WHOLE	CARTHAMUS LANATUS
CARTHAMUS LANATUS L.	CARTHAMUS LANATUS
JUGLANS COMPRESSA WHOLE	CARYA ALBA
CARYA TOMENTOSA WHOLE	CARYA ALBA
JUGLANS ALBA WHOLE	CARYA ALBA
JUGLANS GLABRA WHOLE	CARYA ALBA
CARYA COMPRESSA WHOLE	CARYA ALBA
CARYA ALBA WHOLE	CARYA ALBA
CARYA ALBA (L.) NUTT. EX ELLIOTT	CARYA ALBA
HICORIUS MAXIMA WHOLE	CARYA ALBA
HICORIUS TOMENTOSA WHOLE	CARYA ALBA
HICORIUS ALBA WHOLE	CARYA ALBA
HICORIUS ALBUS WHOLE	CARYA ALBA
JUGLANS SQUAMOSA WHOLE	CARYA ALBA
JUGLANS TOMENTOSA WHOLE	CARYA ALBA
HICORIA PECAN WHOLE	CARYA ILLINOINENSIS
CARYA ILLINOINENSIS WHOLE	CARYA ILLINOINENSIS
JUGLANS CYLINDRICA WHOLE	CARYA ILLINOINENSIS
CARYA TETRAPTERA WHOLE	CARYA ILLINOINENSIS
NUEZ ENCARCELADA WHOLE	CARYA ILLINOINENSIS
PECAN WHOLE	CARYA ILLINOINENSIS
CARYA OLIVIFORMIS WHOLE	CARYA ILLINOINENSIS
CARYA ANGUSTIFOLIA WHOLE	CARYA ILLINOINENSIS
HICORIUS OLIVIFORMIS WHOLE	CARYA ILLINOINENSIS
HICORIUS TETRAPTERA WHOLE	CARYA ILLINOINENSIS
HICORIUS DIGUETII WHOLE	CARYA ILLINOINENSIS
CARYA PECAN WHOLE	CARYA ILLINOINENSIS
JUGLANS RUBRA WHOLE	CARYA ILLINOINENSIS
NOGAL MORADO WHOLE	CARYA ILLINOINENSIS
CARYA ILLINOINENSIS [WHO-DD]	CARYA ILLINOINENSIS
JUGLANS PECAN WHOLE	CARYA ILLINOINENSIS
CARYA ILLINOINENSIS (WANGENH.) K.KOCH	CARYA ILLINOINENSIS
JUGLANS OLIVIFORMIS WHOLE	CARYA ILLINOINENSIS
CARYA DIGUETII WHOLE	CARYA ILLINOINENSIS
JUGLANS ANGUSTIFOLIA WHOLE	CARYA ILLINOINENSIS
PECANIER WHOLE	CARYA ILLINOINENSIS
JUGLANS ILLINOINENSIS WHOLE	CARYA ILLINOINENSIS
CASTANEA AMERICANA WHOLE	CASTANEA DENTATA
CASTANEA VULGARIS VAR. AMERICANA WHOLE	CASTANEA DENTATA
CASTANEA VESCA VAR. AMERICANA WHOLE	CASTANEA DENTATA
CASTANEA SATIVA VAR. AMERICANA WHOLE	CASTANEA DENTATA
AMERICAN CHESTNUT [HOC]	CASTANEA DENTATA
CASTANEA SATIVA VAR. PENDULIFOLIA WHOLE	CASTANEA DENTATA
CASTANEA VESCA VAR. DENUDA WHOLE	CASTANEA DENTATA
CASTANEA DENTATA (MARSHALL) BORKH.	CASTANEA DENTATA
FAGUS CASTANEA VAR. DENTATA WHOLE	CASTANEA DENTATA
AMERICAN CHESTNUT WHOLE	CASTANEA DENTATA
CASTANEA DENTATA WHOLE	CASTANEA DENTATA
CHINESE CHESTNUT WHOLE	CASTANEA MOLLISSIMA
CASTANEA SINENSIS WHOLE	CASTANEA MOLLISSIMA
CASTANEA MOLLISSIMA BLUME	CASTANEA MOLLISSIMA
CHINESE HAIRY CHESTNUT WHOLE	CASTANEA MOLLISSIMA
CASTANEA HUPEHENSIS WHOLE	CASTANEA MOLLISSIMA
CASTANEA MOLLISSIMA WHOLE	CASTANEA MOLLISSIMA
CASTANEA MOLLISSIMA [WHO-DD]	CASTANEA MOLLISSIMA
CASTANEA BUNGEANA WHOLE	CASTANEA MOLLISSIMA
CASTANEA FORMOSANA WHOLE	CASTANEA MOLLISSIMA
CASTANEA DUCLOUXII WHOLE	CASTANEA MOLLISSIMA
CASTANEA FLORIDANA WHOLE	CASTANEA PUMILA
FAGUS NANA WHOLE	CASTANEA PUMILA
CASTANEA PAUCISPINA WHOLE	CASTANEA PUMILA
CASTANEA PUMILA WHOLE	CASTANEA PUMILA
ALLEGHENY CHINKAPIN WHOLE	CASTANEA PUMILA
CASTANEA PUMILA (L.) MILL.	CASTANEA PUMILA
CASTANEA NANA WHOLE	CASTANEA PUMILA
NORTHERN CATALPA WHOLE	CASTANEA PUMILA
CASTANEA CHINCAPIN WHOLE	CASTANEA PUMILA
CASTANEA MARGARETTA WHOLE	CASTANEA PUMILA
CHINKAPIN WHOLE	CASTANEA PUMILA
CASTANEA ALNIFOLIA WHOLE	CASTANEA PUMILA
FAGUS PUMILA WHOLE	CASTANEA PUMILA
CASTANEA ASHEI WHOLE	CASTANEA PUMILA
CASTANEA VESCA GAERTN.	CASTANEA SATIVA
EUROPEAN CHESTNUT WHOLE	CASTANEA SATIVA
SPANISH CHESTNUT [HOC]	CASTANEA SATIVA
FAGUS PROCERA WHOLE	CASTANEA SATIVA
CASTANEA VULGARIS WHOLE	CASTANEA SATIVA
CASTANEA VULGARIS LAM.	CASTANEA SATIVA
CASTANEA SATIVA WHOLE	CASTANEA SATIVA
CASTANEA VESCA WHOLE	CASTANEA SATIVA
CASTANEA SATIVA MILL.	CASTANEA SATIVA
CASTANEA PROLIFERA WHOLE	CASTANEA SATIVA
EURASIAN CHESTNUT WHOLE	CASTANEA SATIVA
CASTANEA CASTANEA WHOLE	CASTANEA SATIVA
SPANISH CHESNUT WHOLE	CASTANEA SATIVA
SWEET CHESTNUT WHOLE	CASTANEA SATIVA
CASTANEA FASTIGIATA WHOLE	CASTANEA SATIVA
CASTANEA SATIVA [WHO-DD]	CASTANEA SATIVA
FAGUS CASTANEA WHOLE	CASTANEA SATIVA
SPANISH CHESTNUT WHOLE	CASTANEA SATIVA
CASTILLEJA OBLONGIFOLIA WHOLE	CASTILLEJA MINIATA
CASTILLEJA MONTANA WHOLE	CASTILLEJA MINIATA
GREAT RED INDIAN-PAINTBRUSH WHOLE	CASTILLEJA MINIATA
GIANT RED INDIAN PAINTBRUSH WHOLE	CASTILLEJA MINIATA
CASTILLEJA MINIATA DOUGLAS EX BENTH.	CASTILLEJA MINIATA
CASTILLEJA VREELANDII WHOLE	CASTILLEJA MINIATA
CASTILLEJA INCONSTANS WHOLE	CASTILLEJA MINIATA
EUCHROMA INTEGRIFOLIA WHOLE	CASTILLEJA MINIATA
CASTILLEJA CRISPULA WHOLE	CASTILLEJA MINIATA
SCARLET INDIAN PAINTBRUSH WHOLE	CASTILLEJA MINIATA
CASTILLEJA CRISTA-GALLI WHOLE	CASTILLEJA MINIATA
CASTILLEJA PORTERAE WHOLE	CASTILLEJA MINIATA
SCARLET PAINTBRUSH WHOLE	CASTILLEJA MINIATA
CASTILLEJA GRACILLIMA WHOLE	CASTILLEJA MINIATA
CASTILLEJA MINIATA WHOLE	CASTILLEJA MINIATA
CASTILLEJA VARIABILIS WHOLE	CASTILLEJA MINIATA
CASTILLEJA TWEEDYI WHOLE	CASTILLEJA MINIATA
GREAT RED INDIAN PAINTBRUSH WHOLE	CASTILLEJA MINIATA
CASTILLEJA TRINERVIS WHOLE	CASTILLEJA MINIATA
CASTILLEJA CONFUSA WHOLE	CASTILLEJA MINIATA
CASTILLEJA MINIATA [WHO-DD]	CASTILLEJA MINIATA
SQUAW-ROOT WHOLE	CAULOPHYLLUM THALICTROIDES
LEONTICE THALICTRIFOLIUM WHOLE	CAULOPHYLLUM THALICTROIDES
PAPOOSE-ROOT WHOLE	CAULOPHYLLUM THALICTROIDES
BLUE COHOSH WHOLE	CAULOPHYLLUM THALICTROIDES
BLUE COHOSH [HOC]	CAULOPHYLLUM THALICTROIDES
CAULOPHYLLUM THALICTROIDES WHOLE	CAULOPHYLLUM THALICTROIDES
CAULOPHYLLUM THALICTROIDES RHIZOME/WHOLE	CAULOPHYLLUM THALICTROIDES
PAPOOSE WHOLE	CAULOPHYLLUM THALICTROIDES
CAULOPHYLLUM THALICTROIDES (L.) MICHX.	CAULOPHYLLUM THALICTROIDES
CAULOPHYLLUM THALICTROIDES [WHO-DD]	CAULOPHYLLUM THALICTROIDES
CAULOPHYLLE FAUX-PIGAMON WHOLE	CAULOPHYLLUM THALICTROIDES
