"p1"	"upper"
FLOATING WATER HYACINTH WHOLE	MIRABILIS JALAPA
COLLINSIA DIEHLII WHOLE	ACTAEA RACEMOSA
MAGNOLIA GRANDIFLORA WHOLE	ANETHUM GRAVEOLENS
CALYCOMELIA PISTACIIFOLIA WHOLE	PASSIFLORA EDULIS
CHOMELIA MOSSAMBICENSIS WHOLE	OCIMUM TENUIFLORUM
HARONGA MADAGASCARIENSIS [WHO-DD]	DELPHINIUM GRANDIFLORUM
CYCLAMEN ALBIFLORUM WHOLE	PANAX GINSENG
MULDERA MULTINERVIS WHOLE	CENTAURIUM ERYTHRAEA
SALVIA CHROMATICA WHOLE	RUSCUS ACULEATUS
CARDAMOMUM MELEGUETA WHOLE	LONICERA JAPONICA
ARTIST'S ACANTHUS WHOLE	XANTHIUM STRUMARIUM
JAPANESE MEDLAR WHOLE	FERULA COMMUNIS
FICUS BENIENSIS WHOLE	PINUS NIGRA
MELASMA AVENSE WHOLE	PERSICARIA PUNCTATA
HERPESTIS AFRICANA WHOLE	ARMILLARIA GALLICA
CATAPUTIA MINOR WHOLE	CAPSELLA BURSA-PASTORIS
IPOMOEA CALVA WHOLE	SOLANUM CAROLINENSE
CAPSELLA DIVARICATA WHOLE	GLADIOLUS DALENII
HEUCHERA CYLINDRICA	STILLINGIA SYLVATICA
SOLANUM AMERICANUM WHOLE	SALVIA PRATENSIS
CUB SHARK WHOLE	ANCHUSA OFFICINALIS
LAPATHUM DIGYNUM WHOLE	MORINDA CITRIFOLIA
ANCHUSA MACULATA WHOLE	GERANIUM WILFORDII
NEPHROLEPIS CORDIFOLIA WHOLE	LEPIDIUM VIRGINICUM
PALIURUS SPINA-CHRISTI [WHO-DD]	CAPSELLA BURSA-PASTORIS
ZUCCA COMMERSONIANA WHOLE	COMMELINA DIFFUSA
TILIA AMERICANA WHOLE	QUERCUS CERRIS
SAMPSON'S SNAKEROOT WHOLE	FRAXINUS QUADRANGULATA
OXYRIA RENIFORMIS WHOLE	MIKANIA BANISTERIAE
TRICHERA BOSNIACA WHOLE	CURCUMA ZEDOARIA
KALANCHOE CRENATA (ANDREWS) HAW.	PAULLINIA CUPANA
PINUS SYLVESTRIS	CYMBOPOGON SCHOENANTHUS
TABERNAEMONTANA AURANTIACA GAUDICH.	ARUM ITALICUM
BURSA SUBLAEVIGATA WHOLE	MIRABILIS JALAPA
COMFREY WHOLE	GYMNEMA LATIFOLIUM
HYGROPHILA LATIFOLIA WHOLE	MAGNOLIA VIRGINIANA
SMILAX CADUCA WHOLE	EUGENIA BIFLORA
ESCHSCHOLZIA JUNCEA WHOLE	HARPAGOPHYTUM PROCUMBENS
OLEANDER VULGARIS WHOLE	CISTUS CRETICUS
FLAME KALANCHOE WHOLE	GALIUM APARINE
TORRUBIA MILITARIS WHOLE	VERONICA CHAMAEDRYS
LOQUAT [HOC]	ZANTHOXYLUM ARMATUM
WEST INDIAN ALOE	CARTHAMUS LANATUS
WARNERIA CANADENSIS WHOLE	SESBANIA SESBAN
BUPLEURUM TOGASII WHOLE	BIXA ORELLANA
EUROPEAN CHESTNUT WHOLE	SENNA
ACANTHOPANOX SENTICOSUS WHOLE	SOLANUM NIGRUM
ASARUM CANADENSE	CELTIS GOMPHOPHYLLA
RUBUS CONGRUUS WHOLE	GALIUM APARINE
WILD CARROT [HOC]	ALCEA ROSEA
COMMELINA HEXANDRA WHOLE	ASTRAGALUS PROPINQUUS
BUCKTHORN WHOLE	BARLEY GRASS
SPERMACOCE OAXACANA WHOLE	TRIFOLIUM REPENS
TYPHA ESSEQUEBOENSIS WHOLE	CORDIA DENTATA
BURSA OCCIDENTALIS WHOLE	DITRYSINIA FRUTICOSA
MYRICA MEXICANA WHOLE	LONICERA HYPOGLAUCA
GALIUM CHILENSE WHOLE	CARYA ILLINOINENSIS
CASTANEA VULGARIS WHOLE	BACOPA MONNIERI
POLYPOUS LUCIDUS WHOLE	PSEUDOGNAPHALIUM VISCOSUM
NAPUS CAMPESTRIS WHOLE	FRAXINUS AMERICANA
TORREY RUSH WHOLE	GALEGA OFFICINALIS
ASTRAGALUS ATTICUS WHOLE	CAMPSIS RADICANS
TRICHERA ARVENSIS WHOLE	ANDROPOGON VIRGINICUS
TRITICUM WHOLE	ABIES ALBA
MELIA AZEDARACH	VIBURNUM OPULUS
SENECIO SONCHIFOLIUS WHOLE	PRUNUS PERSICA
BLUE COHOSH WHOLE	ANTHYLLIS VULNERARIA
SWAMP SPRUCE WHOLE	SASSAFRAS ALBIDUM
URTICA MAJOR WHOLE	RUMEX CRISPUS
CASTOR [HOC]	VERBASCUM SINUATUM
MIMOSA TREE WHOLE	GALIUM VERUM
MEDICAGO LORETII WHOLE	SALVIA VERBENACA
VALERIANA RUBRA WHOLE	EMILIA SONCHIFOLIA
SIPHAULAX GLABRA WHOLE	MAESA LANCEOLATA
JUMPING CUCUMBER WHOLE	LION'S-TOOTH
BIGNONIA TUBULOSA WHOLE	GLYCYRRHIZA GLABRA
LAPPA GLABRA WHOLE	SAMBUCUS NIGRA
SISYMBRIUM OFFICINALE [WHO-DD]	ASCLEPIAS PERENNIS
CELTIS MISSISSIPPIENSIS WHOLE	JUNIPERUS COMMUNIS
PELTANDRA LUTEOSPADIX WHOLE	SAMBUCUS NIGRA
CENTAUREA BENEDICTA [WHO-DD]	TEUCRIUM CHAMAEDRYS
TILIA PALMERI WHOLE	FENUGREEK
CAMPSIS RADICANS	LEONURUS CARDIACA
SIDA EMARGINATA WHOLE	HYPERICUM PUNCTATUM
FALSE SCHISANDRA WHOLE	RICINUS COMMUNIS
AMERICAN ELM WHOLE	ALBIZIA JULIBRISSIN
CAPER BUSH [HOC]	CRATAEGUS MONOGYNA
TAMARIX JUNIPERINA WHOLE	WHEAT GRASS
ROUGEPLANT WHOLE	SALIX BABYLONICA
TILIA COCKSII WHOLE	BIXA ORELLANA
CAPSELLA FAUCIALIS WHOLE	ROSA CANINA
ALLIUM CEPA L.	RANUNCULUS ACRIS
DONIA SAPIDA WHOLE	FICUS CARICA
FICUS PANIFICA WHOLE	BRASSICA NIGRA
CICHORIUM BYZANTHINUM WHOLE	CHRYSOPSIS MARIANA
ERUCA TENUIFOLIA WHOLE	ARCTIUM LAPPA
ROSA FIRMA WHOLE	COMMELINA DIFFUSA
ACANTHOPANAX ASPERATUS WHOLE	ROSA CANINA
DIPTEROCARPUS CAMPHORUS WHOLE	SESELI LIBANOTIS
VARIEGATED THISTLE WHOLE	DIPSACUS FULLONUM
ERODION MALACHOIDEUM WHOLE	PINUS KESIYA
CROTALARIA VIMINEA WHOLE	ARTOCARPUS ALTILIS
CELTIS MISSISSIPPIENSIS WHOLE	CASTANEA PUMILA
GURMAR WHOLE	COLLINSIA PARVIFLORA
LYCIUM BARBATUM [WHO-DD]	GERANIUM WILFORDII
ULMUS PENDULA WHOLE	SESELI LIBANOTIS
RUDBECKIA AMPLECTENS WHOLE	CHAMOMILE
SMILAX TRIGONA WHOLE	RAPHANUS RAPHANISTRUM
SQUAWVINE WHOLE	GYMNEMA LATIFOLIUM
GASTROCHILUS SPICATUS WHOLE	ALBIZIA JULIBRISSIN
CASPARIA PORRECTA WHOLE	ACHILLEA MILLEFOLIUM
ALLIUM ALBESCENS WHOLE	MAGNOLIA OFFICINALIS
ACHILLEA MARGINATA WHOLE	OCIMUM TENUIFLORUM
ACHILLEA PUNCTATA WHOLE	ENDOTROPIS ALNIFOLIA
CLARY WHOLE	SOLANUM ANGUIVI
ULMUS BERANDII WHOLE	THUJA PLICATA
FALLOPIA MULTIFLORA [WHO-DD]	GALIUM APARINE
PLANTAIN [MART.]	ANTHYLLIS VULNERARIA
SELF HEAL WHOLE	RIVINA HUMILIS
BATIDOPHACA HUMISTRATA WHOLE	ACALYPHA FRUTICOSA
WILD YAM [HOC]	BORAGO OFFICINALIS
ROSMARINUS ANGUSTIFOLIUS WHOLE	LIRIODENDRON TULIPIFERA
LAURUS CAMPHORIFERA WHOLE	CANTINOA AMERICANA
ULMUS CORNUBIENSIS WHOLE	DELPHINIUM GRANDIFLORUM
ULMARIA VULGARIS WHOLE	LUDWIGIA ERECTA
BLUMEA VELUTINA WHOLE	MATRICARIA CHAMOMILLA
IONIDIUM ENNEASPERMUM WHOLE	MIMOSA PUDICA
ORIGANUM PALLIDUM WHOLE	GALEGA OFFICINALIS
CALLUNA VULGARIS [WHO-DD]	LEONURUS CARDIACA
LIBANOTIS RIVINIANA WHOLE	CARPINUS CAROLINIANA
CITRUS X NATSUDAIDAI WHOLE	CENTROSEMA VIRGINIANUM
LENTISCUS MASSILIENSIS WHOLE	SASSAFRAS ALBIDUM
AMERICAN WATERHOREHOUND WHOLE	EUPHORBIA OFFICINARUM
COMMON HAZEL WHOLE	BAUHINIA DIVARICATA
CAPSELLA SINUOSA WHOLE	CAMPSIS RADICANS
AFRAMOMUM ANGUSTIFOLIUM WHOLE	ALOCASIA MACRORRHIZOS
SHEPHERDSPURSE	RUBUS FLAGELLARIS
IRIS GEORGIANA WHOLE	AMOMUM VILLOSUM
ZANTHOXYLUM KIBADA WHOLE	AESCULUS PAVIA
CAPSELLA DIODONTA WHOLE	GENTIANA OLIVIERI
COCCINIA HIRTELLA	VACCINIUM ANGUSTIFOLIUM
FAGUS GRANDIFOLIA	COPTIS
GLADIOLUS QUARTINIANUS WHOLE	JATROPHA CURCAS
WILD TURNIP WHOLE	BIXA ORELLANA
GARDEN BEET	CHELIDONIUM MAJUS
PASSIFLORA EDULIS	CHRYSOJASMINUM FRUTICANS
PURPLE CLOVER WHOLE	TRIBULUS TERRESTRIS
FUMARIA OFFICINALIS WHOLE	MALVA SYLVESTRIS
XENOPOMA BOLIVIANUM WHOLE	CITRUS AURANTIUM
SALVIA MILTIORRHIZA	QUERCUS CERRIS
WILLOUGHBYA BANISTERIAE WHOLE	TILIA AMERICANA
TANACETUM CRISPUM WHOLE	SERENOA REPENS
COMBRETUM SCHIMPERIANUM WHOLE	DRYOBALANOPS AROMATICA
HOLLY-LEAF BARBERRY WHOLE	HYPERICUM HYPERICOIDES
CHOMELIA ANGOLENSIS WHOLE	STINGING NETTLE
AGELAEA OBOVATA WHOLE	ERYNGIUM FOETIDUM
SPERMACOCE OLIGODONTA WHOLE	CYCLAMEN HEDERIFOLIUM
ANTHYLLIS HETEROPHYLLA WHOLE	PSEUDOTSUGA MENZIESII
AGELAEA THOUARSIANA WHOLE	PYROSTEGIA VENUSTA
CARCHARHINUS AMBOINENSIS WHOLE	MOMORDICA CHARANTIA
WILD SICHUAN PEPPER WHOLE	ILEX PARAGUARIENSIS
DEVILSCLUB WHOLE	ACHILLEA MILLEFOLIUM
LAUREOLA MAS WHOLE	SILENE LATIFOLIA
REDCARDINAL WHOLE	ROSA CANINA
NUPHAR LUTEUM WHOLE	ESCHSCHOLZIA CALIFORNICA
ACETOSELLA ALBA WHOLE	MAGNOLIA GRANDIFLORA
PISTIA NATALENSIS WHOLE	BAPTISIA ALBA
LOMILIS CILIATA WHOLE	RAPHANUS RAPHANISTRUM
CEROPHORA ANGUSTIFOLIA WHOLE	CENTAURIUM ERYTHRAEA
COPTIS CHINENSIS	CRANBERRY
COUCH GRASS [HOC]	ASTRAGALUS HUMISTRATUS
MIMOSA PUDICA L.	DACTYLORHIZA INCARNATA
ANTHYLLIS ALPESTRIS WHOLE	VIBURNUM OPULUS
FRAXINUS ANGUSTIFOLIA WHOLE	DICHORISANDRA HEXANDRA
BERBERIS MAXIMA WHOLE	DELPHINIUM GRANDIFLORUM
TILIA LITTORALIS WHOLE	MEDICAGO POLYMORPHA
ACHILLEA ASPLENIIFOLIA WHOLE	ROSA DAMASCENA
GLYCYRRHIZA INFLATA WHOLE	CECROPIA PELTATA
LENTISCUS VULGARIS WHOLE	PETROSELINUM CRISPUM
JUGLANS REGIA L.	JACOBAEA MARITIMA
MIDSUMMER-MEN WHOLE	VERBASCUM THAPSUS
MENTHA SPICATA L.	ZALUZIANSKYA CAPENSIS
SALVIA ERIOCAULIS WHOLE	LICORICE
GNAPHALIUM ADSCENDENS WHOLE	ILEX PARAGUARIENSIS
GENISTA ODORATISSIMA WHOLE	PANAX GINSENG
PISTIA AMAZONICA WHOLE	QUERCUS GAMBELII
VERNONIA ARGUTA WHOLE	CAPSELLA BURSA-PASTORIS
RUBUS RIGIDIUSCULUS WHOLE	TULSI
CRANZIA WILLDENOWII WHOLE	CARYA ILLINOINENSIS
COMMON FOUR-O'CLOCK WHOLE	MATRICARIA CHAMOMILLA
PARTRIDGEBERRY WHOLE	TODDALIA ASIATICA
BUGLOSSUM ASPERMUM WHOLE	ARENARIA LANUGINOSA
GALLITRICHUM PALLIDIFLORUM WHOLE	VICIA FABA
ENGLISH ELM WHOLE	KALANCHOE CRENATA
DENDRANTHEMA PARTHENIUM WHOLE	CURCUMA LONGA
ERINUS CAPENSIS WHOLE	VICIA FABA
MORINDA CHACHUCA WHOLE	LONICERA JAPONICA
ELDERBERRY WHOLE	PERSICARIA MACULOSA
YIN XING WHOLE	MIRABILIS JALAPA
SILENE CARTHUSIANORUM WHOLE	CIRSIUM ERIOPHORUM
SENECIODES CINEREUM WHOLE	URARIA CRINITA
BERBERIS ARISTATA	JATROPHA CURCAS
ECHINACEA SPECIOSA WHOLE	ENTEROLOBIUM CYCLOCARPUM
MAGNOLIA HARTWICUS WHOLE	COMMELINA BENGHALENSIS
NUPHAR SERICEA WHOLE	LEONURUS CARDIACA
SETE SANGRIAS [HOC]	ALCEA ROSEA
CYPERUS BIFAX WHOLE	NERIUM OLEANDER
OPLOPANAX HORRIDUS WHOLE	SONCHUS OLERACEUS
CEYLON CINNAMON	URTICA DIOICA
FRAXINUS JUGLANDIFOLIA WHOLE	PELTANDRA VIRGINICA
QUERCUS MEDIA WHOLE	RHYNCHOSTYLIS RETUSA
ROSIN-ROSE WHOLE	COMMELINA BENGHALENSIS
SHEPHERDS PURSE [EMA HERBAL SUBSTANCE]	TANACETUM PARTHENIUM
CYANOCOCCUS PALLIDUS WHOLE	TRAMETES VERSICOLOR
COLLOMIA LINEARIS NUTT.	PERSICARIA PUNCTATA
ULMUS TORTUOSA WHOLE	PETROSELINUM CRISPUM
PLANTAIN [HOC]	LIQUIDAMBAR STYRACIFLUA
CAPSELLA CURVISILIQUA WHOLE	FOENICULUM VULGARE
SPATTERDOCK WHOLE	NEUROLAENA LOBATA
TRICHERA VIRGATA WHOLE	GLYCINE MAX
SACCOLABIUM MACROSTACHYUM WHOLE	ALOCASIA MACRORRHIZOS
AESCHYNOMENE PICTA WHOLE	MENTHA PULEGIUM
CRIMSONEYED ROSEMALLOW WHOLE	GALIUM APARINE
INDIAN LILAC WHOLE	ERIGERON FLORIBUNDUS
QUERCUS VILLOSA WHOLE	CAPSELLA BURSA-PASTORIS
KADSURA JAPONICA	HYPERICUM REVOLUTUM
COMMELINA PILOSULA WHOLE	ECHINACEA ANGUSTIFOLIA
RHEXIA VIRGINICA L.	LENS CULINARIS
CAPSELLA FOLIOSA WHOLE	VACCINIUM ANGUSTIFOLIUM
EXCOECARIA SYLVATICA WHOLE	ULMUS RUBRA
SONCHUS LACERUS WHOLE	ACHILLEA MILLEFOLIUM
CYPERUS BICOLOR WHOLE	COMMELINA BENGHALENSIS
COMBRETUM MOLLE R.BR. EX G.DON	ILEX PARAGUARIENSIS
ECHINACEA SEROTINA WHOLE	BERBERIS VULGARIS
VITIS VINIFERA WHOLE	VICIA FABA
ERYTHRAEA EMARGINATA WHOLE	GLADIOLUS DALENII
JUNIPERUS ARGENTEA WHOLE	OCIMUM TENUIFLORUM
MARY'S THISTLE	AMPELOCISSUS LATIFOLIA
RANUNCULUS BORAEANUS WHOLE	ELDERBERRY
SYNNEMA VERTICILLATUM WHOLE	AGELAEA PENTAGYNA
ACHILLEA NOBILIS L.	AMORPHA FRUTICOSA
BIDENS PALEACEA WHOLE	PISTACIA TEREBINTHUS
EUROPEAN HONEYSUCKLE WHOLE	CISTUS CRETICUS
EUCALYPTUS ODORATA BEHR	BAUHINIA DIVARICATA
BRASSICA ARVENSIS WHOLE	EQUISETUM ARVENSE
CYPERUS OCHREOIDES WHOLE	LYCIUM BARBARUM
ATHAMANTA OREOSELINUM WHOLE	FRAXINUS AMERICANA
TINNEVELLY SENNA WHOLE	VERBASCUM THAPSUS
BEGGAR-TICKS WHOLE	NASTURTIUM OFFICINALE
XIANG DOU KOU WHOLE	PINUS MUGO
JALAPA CONGESTA WHOLE	SENNA ALEXANDRINA
PERSICARIA MACULOSA WHOLE	TORMINALIS GLABERRIMA
AMORPHA PENDULA WHOLE	BEET ROOT
QUASSIA AMARA [WHO-DD]	CAPSELLA BURSA-PASTORIS
TRIPSACUM FLORIDANUM WHOLE	TEUCRIUM BOTRYS
BROWN-EYED SUSAN WHOLE	AMORPHA FRUTICOSA
KANSAS SNAKEROOT WHOLE	PTERIDIUM AQUILINUM
SCHIZACHYRIUM SPADICEUM WHOLE	FOENICULUM VULGARE
GENTIAN WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA SCANICA WHOLE	LEPIDIUM VIRGINICUM
ERYTHRAEA VARIABILIS WHOLE	COLLOMIA LINEARIS
VERONICA INTERMEDIA WHOLE	AGELAEA PENTAGYNA
BERBERIS IRRITABILIS WHOLE	CYANTHILLIUM CINEREUM
TILIA NEGLECTA WHOLE	VITIS VINIFERA
SALISBURIA BILOBA WHOLE	KNAUTIA ARVENSIS
JUNCUS TORREYI COVILLE	ARTOCARPUS ALTILIS
SIDA PIMPINELLIFOLIA WHOLE	EPIMEDIUM GRANDIFLORUM
ACHIOTE WHOLE	SCHINUS TEREBINTHIFOLIA
INDIAN BORAGE WHOLE	EUTERPE OLERACEA
SALIX ANNULARIS WHOLE	BERBERIS ARISTATA
TROPICAL GIRDLEPOD WHOLE	VERBASCUM THAPSUS
LYCOPUS AMERICANUS	CARYA ILLINOINENSIS
VULNERARIA ANTHYLLIS WHOLE	BACOPA MONNIERI
CASTANEA PROLIFERA WHOLE	MORINDA CITRIFOLIA
POLYPORUS WHITEAE WHOLE	CIRSIUM ERIOPHORUM
SALIX BABYLONICA WHOLE	DIGITARIA INSULARIS
RED VALERIAN WHOLE	POGOSTEMON CABLIN
CASTANEA VULGARIS LAM.	DIANTHUS CARTHUSIANORUM
VITEX HORNEI WHOLE	SALIX BABYLONICA
EPIDENDRUM RETUSUM WHOLE	CITRUS AURANTIUM
QUERCUS MARYLANDICA WHOLE	CITRUS AURANTIUM
ACHILLEA ASPLENIIFOLIA WHOLE	WOOD SPIDER
GERMANDER SPEEDWELL WHOLE	FILIPENDULA ULMARIA
SCHISANDRA VIRIDICARPA WHOLE	CAPSELLA BURSA-PASTORIS
TREMA INTEGRIFOLIA WHOLE	GLAUCIUM FLAVUM
CERINTHE LONGIFLORA WHOLE	AMOMUM ACULEATUM
VACCINIUM ANGUSTIROLIUM WHOLE	CROTALARIA PALLIDA
VERBASCUM THAPSUM WHOLE	CAPSELLA BURSA-PASTORIS
TILIA NUDA WHOLE	VICIA SATIVA
SIDA EMARGINATA WHOLE	LONICERA PERICLYMENUM
ERUCA SUBBIPINNATA WHOLE	RUBUS ALLEGHENIENSIS
SALVIA MILTIORRHIZAE	DESMODIUM GLUTINOSUM
MOMORDICA COCHINCHINENSIS [WHO-DD]	CECROPIA PELTATA
SYMPHYTUM PATENS WHOLE	QUERCUS CHRYSOLEPIS
BENEDICTA OFFICINALIS WHOLE	TARAXACUM OFFICINALE
PINUS ALBA WHOLE	FRAXINUS QUADRANGULATA
BELHARNOSIA CANADENSIS WHOLE	CRATAEGUS LAEVIGATA
CORYNESPHAERA MILITARIS WHOLE	ANEMOPSIS CALIFORNICA
ZANTHOXYLUM SIMULANS HANCE	FICUS CARICA
HELICHRYSUM ARENARIUM [WHO-DD]	PRUNUS SEROTINA
DILATRIS TINCTORIA WHOLE	PRUNUS ARMENIACA
CHAMOMILE WHOLE	SONCHUS OLERACEUS
VERONICA HIRSUTISSIMA WHOLE	ACER PICTUM
RHEUM ACUMINATUM HOOK.F. & THOMSON	URENA LOBATA
CICHORIUM BALEARICUM WHOLE	SPERMACOCE VERTICILLATA
CURCUMA ZEDOARIA (CHRISTM.) ROSCOE	SENNA ALEXANDRINA
AMORPHA COLORATA WHOLE	CYPERUS ROTUNDUS
DICHORISANDRA OVALIFOLIA WHOLE	ESCHSCHOLZIA CALIFORNICA
BLUEBUTTONS WHOLE	PSEUDOGNAPHALIUM STRAMINEUM
VICIA COMMUNIS WHOLE	ARUNDO DONAX
ALSODEIA SOCOTRANA WHOLE	EQUISETUM ARVENSE
PTERIGIUM TERES WHOLE	CITRUS AURANTIUM
LINARIA VULGARIS	CUPHEA CARTHAGENENSIS
ORIGANUM MAJORANA WHOLE	SANGUINARIA CANADENSIS
GENISTA AMERICANA WHOLE	BIDENS BIPINNATA
AGELAEA PENTAGYNA WHOLE	MARRUBIUM VULGARE
PHELLANDRIUM AQUATICUM WHOLE	SISYMBRIUM OFFICINALE
LINARIA VULGARIS MILL.	FERULA COMMUNIS
LINARIA VULGARIS [HPUS]	CASTANEA SATIVA
DRYOBALANOPS AROMATICA WHOLE	COCCINIA HIRTELLA
AMORPHA VERRUCOSA WHOLE	SALVIA SCLAREA
WESTERN BRACKENFERN WHOLE	THUNBERGIA LAURIFOLIA
HAPLOPAPPUS CILIATUS WHOLE	ANTHYLLIS VULNERARIA
DIOSPYROS CAROLINIANA WHOLE	ROSA CANINA
CAPSELLA BURSA-PASTORIS (L.) MEDIK.	ABIES ALBA
TRIBULUS TERRESTRIS L.	SYMPHYTUM OFFICINALE
BARRENWORT [HOC]	CENTAURIUM ERYTHRAEA
GALEGA PATULA WHOLE	ALLIUM MACROSTEMON
ANTHYLLIS COCCINEA WHOLE	NEPETA HINDOSTANA
ONYCHIUM CAPENSE WHOLE	SENNA ITALICA
TULIPTREE WHOLE	SISYMBRIUM OFFICINALE
PYROSTEGIA AMABILIS WHOLE	FICUS CARICA
AMOMUM AROMATICUM WHOLE	RICINUS COMMUNIS
CLUSIA SUBORBICULARIS WHOLE	ANDROPOGON VIRGINICUS
ANCHUSA ARVALIS WHOLE	HORSETAIL
RUBUS RIGIDUS SM.	ERIGERON STRIGOSUS
COMBRETUM TRICHANTHUM WHOLE	URENA LOBATA
ASPLENIUM AQUILINUM WHOLE	CAPSELLA BURSA-PASTORIS
SCILLA ANTHERICOIDES WHOLE	TULSI
SANGUINARIA MESOCHORA WHOLE	CHIONANTHUS VIRGINICUS
MEDICAGO POLYMORPHA L.	BRASSICA RAPA
CAPSELLA SUBALGIDA WHOLE	NEPETA CATARIA
WILD IPECACUANHA	SALVIA MILTIORRHIZA
FILIPENDULA ULMARIA [WHO-DD]	GLADIOLUS DALENII
MERIONE VILLOSA WHOLE	SALIX LUCIDA
SMILAX HOOKERI WHOLE	ROSA CANINA
SOJA HISPIDA WHOLE	ACER RUBRUM
STILLINGIA [HOC]	ALOCASIA MACRORRHIZOS
AGELAEA PSEUDOBLIQUA WHOLE	GUGGUL
SALIX CHINENSIS WHOLE	LINARIA VULGARIS
PYCNOTHYMUS RIGIDUS WHOLE	CAPSELLA BURSA-PASTORIS
BORRERIA LAEVIGATA WHOLE	SMILAX PSEUDOCHINA
MEDICA PENTACYCLA WHOLE	KNAUTIA ARVENSIS
MAERUA CRASSIFOLIA FORSSK.	QUERCUS CERRIS
CEPHALANTHUS ANGUSTIFOLIUS WHOLE	THELYPTERIS KUNTHII
ESCHSCHOLZIA MEXICANA GREENE	FICUS SUR
SCHIZOCALYX SMYRNAEUS WHOLE	CODONOPSIS PILOSULA
SPANISH CANE WHOLE	LINARIA VULGARIS
ONE-SEED HAWTHORN WHOLE	BIDENS PILOSA
CECROPIA PELTATA WHOLE	COMMIPHORA MUKUL
HYPTIS SUBVERTICILLATA WHOLE	TYPHA LATIFOLIA
PURPLE CONEFLOWER WHOLE	ALOCASIA MACRORRHIZOS
ASCYRUM MICHAUXII WHOLE	BAUHINIA DIVARICATA
KNAUTIA BORDEREI WHOLE	DAPHNE LAUREOLA
CITRUS X GLABERRIMA WHOLE	ALOE VERA
VELLERUCA LONGISTYLA WHOLE	URENA LOBATA
TRADESCANTIA AUBLETII WHOLE	SENNA ALEXANDRINA
ACER COCCINEUM WHOLE	KAVA
CARDIACA STACHYS WHOLE	CYANTHILLIUM CINEREUM
CAPSELLA CUNEOLATA WHOLE	CODONOPSIS PILOSULA
BAUHINIA LONGIFOLIA (BONG.) STEUD.	OCIMUM TENUIFLORUM
HEN'S EYES WHOLE	SALVIA MACROSIPHON
RICINUS UNDULATUS WHOLE	DIGITARIA INSULARIS
PICEA ABIES (L.) H.KARST.	PONTEDERIA CORDATA
CAPE LILAC WHOLE	SALVIA OFFICINALIS
FICUS AFEELII WHOLE	MELIA AZEDARACH
THREELEAF BLACKBERRY WHOLE	MELISSA OFFICINALIS
ALCEA PONTICA WHOLE	LICORICE
RANUNCULUS MAJOR WHOLE	CINNAMOMUM CAMPHORA
MALVA TOMENTELLA WHOLE	EUPHORBIA LACEI
RANUNCULUS SUBALPINUS WHOLE	QUERCUS GAMBELII
SELINUM LIBANOTIS WHOLE	PISTIA STRATIOTES
ORIGANUM SYRIACUM WHOLE	STACHYS TENUIFOLIA
GLYCINE USSURIENSIS WHOLE	GARCINIA GERRARDII
HALDI WHOLE	PSEUDOGNAPHALIUM STRAMINEUM
HONEYWORT WHOLE	LACTUCA INDICA
PANICUM DUCHAISSINGII WHOLE	DAPHNE SERICEA
MAJORANA TENUIFOLIA WHOLE	ROSA CANINA
CISSUS VINIFERA WHOLE	GLYCINE MAX
CAPSELLA CURVISILIQUA WHOLE	AFROHYBANTHUS ENNEASPERMUS
ROSA X DAMASCENA ITALICA WHOLE	MITRACARPUS HIRTUS
BRASSICA HISPIDA WHOLE	ALOE VERA
DRIMIA MARITIMA (L.) STEARN	ASPARAGUS RACEMOSUS
CAPSELLA MICROCARPA WHOLE	MALVA SYLVESTRIS
ASS'S FOOT WHOLE	VITIS VINIFERA
NASTURTIUM SIIFOLIUM WHOLE	PINUS SYLVESTRIS
ASCLEPIAS CURASSAVICA L.	LYCIUM BARBARUM
AMOMUM ACULEATUM	CORYLUS AMERICANA
DIOSCOREA LONGIFOLIA WHOLE	HYPERICUM HYPERICOIDES
MATRICARIA PUSILLA WHOLE	NASTURTIUM OFFICINALE
COMMON ST. JOHNSWORT WHOLE	CARCHARHINUS LEUCAS
ROSCOEA LUTEA WHOLE	SENNA OCCIDENTALIS
CYCLAMINUS NEAPOLITANA WHOLE	GYMNEMA SYLVESTRE
ARENARIA NEMOROSA WHOLE	CITRUS AURANTIUM
EUGENIA LORETENSIS WHOLE	ATRACTYLODES LANCEA
ANNATTO WHOLE	MERTESIA VIRGINICA
POORMAN'S PEPPERWORT WHOLE	POLIOMINTHA INCANA
GENTIANA PALUSTRIS WHOLE	PYROSTEGIA VENUSTA
FRAXINUS ANGUSTIFOLIA	TUSSILAGO FARFARA
LOPHOSCIADIUM MEOIDES WHOLE	FERULA SINKIANGENSIS
RUSSIAN LICORICE WHOLE	RUMEX VENOSUS
SILVER WATTLE WHOLE	ANEMONE HEPATICA
XUE LIAN HUA WHOLE	RUBUS FLAGELLARIS
CLINOPODIUM POLYCEPHALUM WHOLE	BLUMEA LACERA
BITTER ORANGE WHOLE	URARIA CRINITA
AMORPHA MACROPHYLLA WHOLE	KNAUTIA ARVENSIS
ST.JOHN'S BREAD WHOLE	JUGLANS REGIA
POLYPORUS THOMSONII WHOLE	PISTIA STRATIOTES
AGELAEA PILOSA WHOLE	SASSAFRAS ALBIDUM
BERBERIS MAXIMOWICZII WHOLE	BERBERIS ARISTATA
CHEROKEE PLUM WHOLE	RUTA GRAVEOLENS
AMORPHA DISCOLOR WHOLE	VIBURNUM OPULUS
