FAERS_drug_match,lookup_value
CONVALLARIA MAJALIS\CRATAEGUS LAEVIGATA LEAF\PROXYPHYLLINE,Woodland hawthorn
CONVALLARIA MAJALIS/CRATAEGUS LAEVIGATA/PROXYPHYLLINE,Woodland hawthorn
CONVALLARIA MAJALIS W/CRATAEGUS LAEVIGATA/PRO,Woodland hawthorn
CRATAEGUS LAEVIGATA,Woodland hawthorn
CRATAEGUS LAEVIGATA (CRATAEGUS LAEVIGATA),Woodland hawthorn
CRATAEGUS LAEVIGATA/PROXYPHYLLINE/CONVALLARIA MAJALIS,Woodland hawthorn
CRATAEGUTT (CRATAEGUS LAEVITGATA) (CRATAEGUS LAEVIGATA),Woodland hawthorn
CRATAEGUTT NOVO 450 (CRATAEGUS LAEVIGATA EXTRACT),Woodland hawthorn
CRATAEUGUTT (CRATAEGUS LAEVIGATA EXTRACT),Woodland hawthorn
EUPHYTOSE [BALLOTA NIGRA;CRATAEGUS LAEVIGATA;,Woodland hawthorn
"EUPHYTOSE (TABLET) (VALERIANA OFFICINALIS EXTRACT, CRATAEGUS LAEVIGATA",Woodland hawthorn
FAROS (CRATAEGUS LAEVIGATA EXTRACT),Woodland hawthorn
FAROS [CRATAEGUS LAEVIGATA EXTRACT],Woodland hawthorn
"HAWTHORN BERRY (CRATAEGUS LAEVIGATA, CRATAEGUS OXYACANTHA)",Woodland hawthorn
HAWTHORN [CRATAEGUS LAEVIGATA],Woodland hawthorn
"KANEURON (PHENIBARBITAL, CAFFEINE, CRATAEGUS LAEVIGATA EXTRACT, PASSIF",Woodland hawthorn
KORODIN [CAMPHOR;CONVALLARIA MAJALIS TINCTURE;CRATAEGUS LAEVIGATA EXTR,Woodland hawthorn
"OMEGA /AUT/(PROXYPHYLLINE, CRATAEGUS LAEVIGATA, CONVALLARIA MAJALIS)",Woodland hawthorn
"OMEGA (CONVALLARIA MAJALIS, CRATAEGUS LAEVIGATA, PROXPHYLLINE)",Woodland hawthorn
"OMEGA (CONVALLARIA MAJALIS, CRATAEGUS LAEVIGATA, PROXYPHEYLLINE)",Woodland hawthorn
"OMEGA (CONVALLARIA MAJALIS, CRATAEGUS LAEVIGATA, PROXYPHYLINE)",Woodland hawthorn
"OMEGA (CONVALLARIA MAJALIS, CRATAEGUS LAEVIGATA, PROXYPHYLLINE)",Woodland hawthorn
"OMEGA [CONVALLARIA MAJALIS,CRATAEGUS LAEVIGATA,PROXYPHYLLINE]",Woodland hawthorn
OMEGA [CONVALLARIA MAJALIS;CRATAEGUS LAEVIGATA;PROXYPHYLLINE],Woodland hawthorn
"OMEGA (CONVALLARIA MAJLIS, CRATAEGUS LAEVIGATA, PROXYPHYLLINE)",Woodland hawthorn
"PRO-OMEGA (PROXYPHYLLINE, CRATAEGUS LAEVIGATA, CONVALLARIA MAJALIS)",Woodland hawthorn
"VAGOSTABYL (CALCIUM LACTATE, CRATAEGUS LAEVIGATA, MELISSA OFFICINALIS",Woodland hawthorn
VALERIANA OFFICINALIS EXTRACT AND CRATAEGUS LAEVIGATA EXTRACT AND BALL,Woodland hawthorn
DEVIL'S CLAW,Wood spider
DEVIL'S CLAW                       /01064501/,Wood spider
DEVIL'S CLAW CAP,Wood spider
DEVIL'S CLAW (HARPAGOPHYTUM PROCUMBENS),Wood spider
DEVIL'S CLAW [HARPAGOPHYTUM PROCUMBENS],Wood spider
DEVIL'S CLAW [HARPAGOPHYTUM PROCUMBENS ROOT],Wood spider
DEVIL'S CLAW ROOT,Wood spider
HARPAGOPHYUM PROCUMBENS (DEVIL'S CLAW),Wood spider
COPPER/GLYCINE MAX/HARPAGOPHYTUM PROCUMBENS/LYSINE/MANGANESE/PANTOTHEN,Wood spider
DEVILS CLAW (HARPAGOPHYTUM PROCUMBENS),Wood spider
GREEN-LIPPED MUSSEL (HARPAGOPHYTUM PROCUMBENS W/HERBAL EXTRACT NOS),Wood spider
HARPAGESIC (HARPAGOPHYTUM PROCUMBENS),Wood spider
HARPAGOPHYTUM PROCUMBENS,Wood spider
HARPAGOPHYTUM PROCUMBENS EXTRACT,Wood spider
HARPAGOPHYTUM PROCUMBENS (HARPAGOPHTUIM PROCUMBENS),Wood spider
HARPAGOPHYTUM PROCUMBENS  (HARPAGOPHYTUM PROCUMBENS),Wood spider
HARPAGOPHYTUM PROCUMBENS (NGX),Wood spider
HARPAGOPHYTUM PROCUMBENS ROOT,Wood spider
HARPAGOPHYTUM PRTOCUMBENS (HARPAGOPHYTUM PROCUMBENS),Wood spider
ASHWAGANDA,Ashwaganda
INDIAN GINSENG,Ashwaganda
ASHAAGHANDA,Ashwaganda
ASHAWAGANDA,Ashwaganda
ASHUAGANDA,Ashwaganda
ASHWAGAN,Ashwaganda
ASH WAGANDA,Ashwaganda
ASHWAGHANDA,Ashwaganda
ASHWAGNANDHA,Ashwaganda
ASHWANDA,Ashwaganda
ASJWAGAMDA,Ashwaganda
ASWAGANDA,Ashwaganda
ASHWAGANDA HERB,Ashwaganda
ASHWAGANDA ROOT,Ashwaganda
ASHWAGANDHA ROOT,Ashwaganda
ASHGWANDA,Ashwaganda
ASHWANAGHANDA,Ashwaganda
ASHWANGDHA,Ashwaganda
AUHWANGA,Ashwaganda
ASHGAWANDA ROOT,Ashwaganda
ASHWAGHANDO ROOT,Ashwaganda
BUTCHER'SBROOM,Butcher's-broom
BUTCHERS BROOM,Butcher's-broom
CAF'S CLAW,Cat's-claw
CATSCLAW,Cat's-claw
CATS CLAW,Cat's-claw
CAT CLAW,Cat's-claw
CAT CLAW HERB,Cat's-claw
CATS CLAW BARK,Cat's-claw
UNA DE GATO HERB,Cat's-claw
CASSIA,Cinnamon
CASSIA (CINNAMON),Cinnamon
CINAMMOMUM VERUM,Cinnamon
CIMMAMON,Cinnamon
CIMNAMON,Cinnamon
CINAIMON,Cinnamon
CINAMIN,Cinnamon
CINAMMN,Cinnamon
CINAMMON,Cinnamon
CINAMON,Cinnamon
CINMMON,Cinnamon
CINNAMIN,Cinnamon
CINNAMINT,Cinnamon
CINNAMMON,Cinnamon
CINNAMO,Cinnamon
CINNAMOM,Cinnamon
CINNAOMIN,Cinnamon
CINNEMIN,Cinnamon
CINNEMON,Cinnamon
CINNIMAN,Cinnamon
CINNIMON,Cinnamon
CINNIMOV,Cinnamon
CINNMON,Cinnamon
CINNNAMON,Cinnamon
CINNOMON,Cinnamon
CNNAMON,Cinnamon
CONNAMON,Cinnamon
CINNAMOMUM CAMPHORA,Cinnamon
CINNAMOMUM SPP.,Cinnamon
TRIGONELLA FOENUM-GRAECUM,Fenugreek
FENEGREEK,Fenugreek
FENOGREAK,Fenugreek
FENUGREC,Fenugreek
FENUGRENE,Fenugreek
SENUGREEK,Fenugreek
TRIGONELLA FOENUM-GRACEUM,Fenugreek
TRIGONELLA FOENUM?GRAECUM,Fenugreek
CHRYSANTHEMUM PARTHENIUM,Feverfew
FEVER FEW,Feverfew
FALX SEED,Flax seed
FAXSEED,Flax seed
FAX SEED,Flax seed
FLAK SEED,Flax seed
FLATSEED,Flax seed
FLEX SEED,Flax seed
FLAXCED,Flax seed
GINSEND,Flax seed
LINESEED,Flax seed
LINEUM USITATISSIMUM,Flax seed
LINUM USITASSIMUM,Flax seed
FLAXOL,Flax seed
GINEC,Ginger
GINER,Ginger
ZINGIBER OFFICINALIS,Ginger
CAMELIA SINENSIS,Green tea
BLACK TEA OIL,Green tea
GREEN TEA OIL,Green tea
GLORANA,Guarana
CANNABIS INDICA,Hemp extract
CANNABIS SATIVA,Hemp extract
HASHISH,Hemp extract
POT,Hemp extract
MARAJUANA,Hemp extract
MARIHUANA,Hemp extract
MARIIJUANA,Hemp extract
MARIJANA,Hemp extract
MARIJAUNA,Hemp extract
MARIJUA,Hemp extract
MARIJUANNA,Hemp extract
MARIJUNA,Hemp extract
MARIJUNAN,Hemp extract
MARJUANA,Hemp extract
CANNABIS BEDICA OLIE,Hemp extract
"CANNABIS, INDICA",Hemp extract
CANNABIS INDICA SMOKE,Hemp extract
CANNABIS SATIVA FLOWER,Hemp extract
CANNABIS SATIVA OIL,Hemp extract
CANNABIS SATIVA SUBSP. INDICA TOP,Hemp extract
CANNABIS SATIVA SUBSP. SATIVA FLOWERING TOP,Hemp extract
CANNABIS SATIVA EXTRACT,Hemp extract
CANNABINIODS,Hemp extract
CANNABIOL,Hemp extract
CANNIBAL,Hemp extract
CANNIBIDIOL OIL,Hemp extract
CANNIBIS,Hemp extract
CANNIMED OIL,Hemp extract
CBD EXTRACT,Hemp extract
HEMPWORX,Hemp extract
"MARIJUANA, N.O.S",Hemp extract
CANABIS LOTION,Hemp extract
CANNABIS BEDICA,Hemp extract
CANNABIS LOTIONS,Hemp extract
CANNABIS RESIN,Hemp extract
CANNABIS SMOKING,Hemp extract
CANNABIS SPRAY,Hemp extract
CANNABIS TEA,Hemp extract
CANNABIS VAPING,Hemp extract
AESCULUS HIPPOCASTANUM,Horse-chestnut
HORSECHESNUT,Horse-chestnut
HORSECHESTNUT,Horse-chestnut
AESCULUS HIPPOCASTANUS,Horse-chestnut
AESCULUS HIPPOCATANUM,Horse-chestnut
HORSE CHESTINE,Horse-chestnut
HORSE CHESTIN CAP,Horse-chestnut
CURCUM EVAIL,Karcura
TARAXACUM OFFICINALE,Lion's tooth
DABDELION,Lion's tooth
DANDALION ROOT,Lion's tooth
DANDILION ROOT,Lion's tooth
TARAXACUM OFFICINALE 2X,Lion's tooth
TARAXACUM OFFICINALIS,Lion's tooth
TARAXACUM?OFFICINALIS,Lion's tooth
LEPIDIUM MEYENI I,Maca
LIPEDIUM MEYENII,Maca
GYMNEMA,Miracle-fruit
GYMNEMA SYLVESTER,Miracle-fruit
GYMNEMA SYLVESTRA,Miracle-fruit
MORINAGA,Moringa
MERINGA OLIFERA,Moringa
HORSERADISH,Moringa
HORSE-RADISH,Moringa
HORSERADISH.,Moringa
MORINGA TEA,Moringa
BURBOCK ROOT,Niu bang zi
BURDICK WOOD,Niu bang zi
ASIAN GINSENG,Panax ginseng
ASIAN GINSING,Panax ginseng
BIN HAN GINSENG,Panax ginseng
KOREA GINSENG,Panax ginseng
KOREAN GINSENG,Panax ginseng
NOTOGINSENG,Panax ginseng
PANAX NOTOGINSENG,Panax ginseng
ECHINACEA COMPLEX,Echinacea
ECHINACEA FORMULA,Echinacea
ECHINACEA FORTE,Echinacea
ECHINACEA PLUS,Echinacea
ECHINACEA PRN,Echinacea
ECHINACEA 3000,Echinacea
ECHINACEA 6300,Echinacea
ECHINACEAE,Echinacea
ECHINACEA GOLDEN,Echinacea
ECHINACEA HERB,Echinacea
ECHINACEA SPP,Echinacea
ECHINACEA SPP.,Echinacea
ECHINACEA TABLET,Echinacea
RIESHI,Reishi
GANODERMA LUCIDUM SPORE,Reishi
LING ZHI  LUNG,Reishi
RHODILA,Rhodiola
RODIOLA,Rhodiola
RHODEOLA ROSEA,Rhodiola
RHODIALIA ROSEA,Rhodiola
RODHIOLA ROSEA,Rhodiola
SERENOA SERRULATA,Scrub-palmetto
SAL PALMENTO,Scrub-palmetto
SAL PALMETO,Scrub-palmetto
SAL PALMETTO,Scrub-palmetto
SALT PALMETTO,Scrub-palmetto
SAN PALMETTO,Scrub-palmetto
SAU PALMETTO,Scrub-palmetto
SAW PALAMETTO,Scrub-palmetto
SAW PALLMETTO,Scrub-palmetto
SAW PALMEMTTO,Scrub-palmetto
SAW PALMENTO,Scrub-palmetto
SAWPALMENTTO,Scrub-palmetto
SAW PALMETA,Scrub-palmetto
SAW PALMETIO,Scrub-palmetto
SAW PALMETO,Scrub-palmetto
SAW PALMETTA,Scrub-palmetto
SAWPALMETTO,Scrub-palmetto
SAW  PALMETTO,Scrub-palmetto
SAW-PALMETTO,Scrub-palmetto
SAW PALMETTTO,Scrub-palmetto
SAW PALMOTTO,Scrub-palmetto
SAW PAMETTO,Scrub-palmetto
SAW PAWMENTO,Scrub-palmetto
SAW PAWMETTO,Scrub-palmetto
SAW PELMETTO,Scrub-palmetto
SAW PLAMETTO,Scrub-palmetto
SAWTALMETTO,Scrub-palmetto
SOW PALMETTO,Scrub-palmetto
SERENOA REPANS,Scrub-palmetto
SERENOAREPENS,Scrub-palmetto
PALMETTO,Scrub-palmetto
RAW PALLEMTO,Scrub-palmetto
SALPALMETO,Scrub-palmetto
SALPAMENTO,Scrub-palmetto
SALPOLMENTO,Scrub-palmetto
SALS PALMETO,Scrub-palmetto
SALT PALMETO,Scrub-palmetto
SAW PALEMTTOI,Scrub-palmetto
SAW PALME,Scrub-palmetto
SAW PAMELLA,Scrub-palmetto
SAWPAMELTTO,Scrub-palmetto
SAW PLAMETO,Scrub-palmetto
SOL PALMETO,Scrub-palmetto
SOLPALMETTO,Scrub-palmetto
SAL PALMETO OTC,Scrub-palmetto
SAL PALMETTO COMPLEX,Scrub-palmetto
SAW PALMETTO COMPLETE,Scrub-palmetto
SAW PAMETTO EXTRA,Scrub-palmetto
STAINGING NETTLE,Stinging nettle
STING NETTLE,Stinging nettle
CHELIDONIUM,Swallowwort
CHELIDONIUM EXTRACT,Swallowwort
DONGQUAI,Tang-kuei
DON QUAI,Tang-kuei
DONYQUAI,Tang-kuei
HAWTHERN,Woodland hawthorn
HAWTHORNE,Woodland hawthorn
HOWTHORN,Woodland hawthorn
CRAT (CRATAGUS LAEVIGATA),Woodland hawthorn
DEVIL CLAW,Wood spider
DEVIL'S CLA,Wood spider
DEVILS CLAE,Wood spider
DEVILS CLAW,Wood spider
DEVILS CLAW PWDR,Wood spider
DEVILS CLAW ROOT,Wood spider
HARPAGOPHYTUM POWDER,Wood spider
ALEO VERA,Aloe vera
ALOEVERA,Aloe vera
ALOVERA,Aloe vera
ALOA VERA OTC,Aloe vera
ALOE VERA (75%),Aloe vera
ALOE VERA CAP,Aloe vera
ALOE VERA CAPSULE,Aloe vera
ALOE VERA CREAM,Aloe vera
ALOE VERA DRINK,Aloe vera
ALOE VERA GEL,Aloe vera
ALOE VERA GELS,Aloe vera
ALOE VERA JUICE,Aloe vera
ALOE VERA LEAF,Aloe vera
ALOE VERA OIL,Aloe vera
ALOE VERA POWDER,Aloe vera
ALOE VERA SYRUP,Aloe vera
ALOE VERA WATER,Aloe vera
ALO VERA JUICE,Aloe vera
BEETROOT,Beet root
BEET ROOT,Beet root
BETA VULGARIS WHOLE.,Beet root
TIAN CE,Beet root
BEET JUICE,Beet root
BEET PILLS,Beet root
BETA VULGARISM 2X,Beet root
BALCK COHOSH,Black cohosh
BLACH COHOSH,Black cohosh
BLACK CHSH,Black cohosh
BLACK COHASH,Black cohosh
BLACK CO HASH,Black cohosh
BLACK COHESH,Black cohosh
BLACK COHOCH,Black cohosh
BLACK COHORSH,Black cohosh
B LACK COHOSH,Black cohosh
BLACK CO HOSH,Black cohosh
BLACK KOHASH,Black cohosh
BLACK KOLOSH,Black cohosh
BLACK COHAGE,Black cohosh
BLACK COHOSH CAP,Black cohosh
BLACK KOASH,Black cohosh
BLACK KOHACH,Black cohosh
E BLACK COHASH,Black cohosh
RA BLACK COHOSH,Black cohosh
CAMOMILE,Chamomile
CHAMOMILEN,Chamomile
CHAMOMILLA,Chamomile
CHAMOMILLE,Chamomile
BLACK CHEER,Black cherry
BLACK CHERRY,Black cherry
BLACK CHERRY.,Black cherry
BLACK SHERRRY,Black cherry
BC CHERRY,Black cherry
BLACKBERRY,Black cherry
BLACK CHERRY LIQ,Black cherry
CORDYCEPS,Cordyceps
CHORDYCEPS,Cordyceps
CORDICEPS,Cordyceps
CORDYCEPOS,Cordyceps
CORDYCEPT,Cordyceps
CORDYEPS,Cordyceps
LORAYCEPS,Cordyceps
LORDYCEPS,Cordyceps
ECCHINACEA,Echinacea
ECCHINACHEA,Echinacea
ECCHINACIA,Echinacea
ECHENACEA,Echinacea
ECHENACIA,Echinacea
ECHINACA,Echinacea
ECHINACAE,Echinacea
ECHINACCA,Echinacea
ECHINACEA+,Echinacea
ECHINACHEA,Echinacea
ECHINACIA,Echinacea
ECHINACIN,Echinacea
ECHINACOA,Echinacea
ECHINAECEA,Echinacea
ECHINAMED,Echinacea
ECHINASIA,Echinacea
ECHINCEA,Echinacea
ECHINEACA,Echinacea
ECHINECCA,Echinacea
ECHINECEA,Echinacea
ECHINECIA,Echinacea
ECHINICEA,Echinacea
ECHNICEA,Echinacea
ECYNACEA,Echinacea
ENCHINACEA,Echinacea
ETHINCEA,Echinacea
EXCHINACEA,Echinacea
BLACK ELDERBERRY,Elderberry
ELDERBERRY,Elderberry
SAMBUCUS NIGRA,Elderberry
ELDEBERRY,Elderberry
ELDEBRRRY,Elderberry
ELDER BERRY,Elderberry
ELDERRBERRY,Elderberry
BLACK ELDERBERRY LOZENGES,Elderberry
BLACK ELDERBERRY SYRUP,Elderberry
ELDERBERRY CHEWABLES,Elderberry
ELDERBERRY GUMMIES,Elderberry
ELDERBERRY GUMMY,Elderberry
ELDERBERRY JUICE,Elderberry
ELDERBERRY LIQUID,Elderberry
ELDERBERRY PLUS,Elderberry
ELDERBERRY ROOT,Elderberry
ELDERBERRY SYRUP,Elderberry
ELDERBERRY TABLETS,Elderberry
ELDER FLOWER,Elderberry
FENNELL,Fennel
GARCINA,Garcinia
GARCINIA,Garcinia
GRACINIA,Garcinia
GOJI,Goji berry
HOREHOUND,Horehound
MARRUBIUM VULGARE,Horehound
HOREHOUND TEA,Horehound
HORSETAIL,Horsetail
HORESTAIL,Horsetail
HORSE TAIL,Horsetail
FIELD HORSETAIL,Horsetail
ENGLISH IVY,Ivy leaf
HEDERA HELIX,Ivy leaf
IVY,Ivy leaf
IVY LEAF,Ivy leaf
HEDRA HELIX,Ivy leaf
KAVA-KAVA,Kava
CAVA-CAVA,Kava
KAVA KAVA,Kava
MIKLTHISTLE,Milk thistle
MILD THISTLE,Milk thistle
MILK CHISTLE,Milk thistle
MILK GRISTLE,Milk thistle
MILK THIASTLE,Milk thistle
MILKTHISLE,Milk thistle
MILK THISLE,Milk thistle
MILK THISLTE,Milk thistle
MILK THISSLE,Milk thistle
MILK THISTEL,Milk thistle
MILKTHISTLE,Milk thistle
MILK -THISTLE,Milk thistle
MILK-THISTLE,Milk thistle
MILK THRISTLE,Milk thistle
MILK THSTLE,Milk thistle
MIL THISTLE,Milk thistle
MILT THISTLE,Milk thistle
MIOLK THISTLE,Milk thistle
MLK THISTLE,Milk thistle
MLX THISTLE,Milk thistle
14 MILK THISTLE,Milk thistle
CVS MILK THISTLE,Milk thistle
EQL MILK THISTLE,Milk thistle
GNC MILK THISTLE,Milk thistle
MILK FIZZLE,Milk thistle
MILKTHISEL,Milk thistle
MILK THISSEL,Milk thistle
^MILKTHISTLE^,Milk thistle
MILK THISTLE CAP,Milk thistle
MILK THISTLE OR,Milk thistle
MILK THISTLE TEA,Milk thistle
MILK-THISTOL,Milk thistle
RA MILK THISTLE,Milk thistle
OLIVE LEAVES,Olive leaf
OREGAN,Oregano
OREGANOL,Oregano
CUMERIC,Turmeric
TEMERIC,Turmeric
TERMARIC,Turmeric
TERMERIC,Turmeric
TERMERICK,Turmeric
TERMURIC,Turmeric
THMERIC,Turmeric
TUMARIC,Turmeric
TUMERAC,Turmeric
TUMERICA,Turmeric
TUMERICE,Turmeric
TUMMERIC,Turmeric
TUMRERIC,Turmeric
TUMURIC,Turmeric
TUNERIC,Turmeric
TUNMERIC,Turmeric
TUREMERIC,Turmeric
TURERIC,Turmeric
TURMARIC,Turmeric
TURMEDIC,Turmeric
TURMENIC,Turmeric
TURMERI,Turmeric
TURMERIA,Turmeric
TURMERIC +,Turmeric
TURMERICE,Turmeric
TURMERIDC,Turmeric
TURMERIK,Turmeric
TURMIC,Turmeric
TURMIERIC,Turmeric
TURMINIC,Turmeric
TURMRIC,Turmeric
TURMRNIC,Turmeric
TURMURIC,Turmeric
TURNEEIC,Turmeric
TURNERIC,Turmeric
TURNMERIC,Turmeric
TAGARA,Valerian
VALERIANA OFFICINALIS,Valerian
VAILERGAN,Valerian
VALARIAN,Valerian
VALCRIAN,Valerian
VALERGAN,Valerian
VALERIAAN,Valerian
VALERIAL,Valerian
VALERIANA,Valerian
VALERIANAE,Valerian
VALERIANE,Valerian
VALERINA,Valerian
VALERIUM,Valerian
VALLERIAN,Valerian
VALORAN,Valerian
VALRIAN,Valerian
VELERIN,Valerian
HOPPS VALERIAN,Valerian
GABA VALERIAN,Valerian
VALERIANA OFFICINALE,Valerian
VALERIANA OFFICINALIS ROOT,Valerian
VALERIAN OFFICINALIS,Valerian
VAKERIAN ROOT,Valerian
VALARIAN ROOT,Valerian
VALERIANA COMP,Valerian
VALERIAN COMPLEX,Valerian
VALERIAN DRAGEE,Valerian
VALERIAN DROPS,Valerian
VALERIAN HEEL,Valerian
VALERIAN HERB,Valerian
VALERIAN OTC,Valerian
VALERIAN POWDER,Valerian
VALERIAN (ROOT),Valerian
VALERIAN RT,Valerian
VALERIAN TABLETS,Valerian
VALERIAN TEA,Valerian
VALERIAN TEAS,Valerian
VALERIEN ROOT,Valerian
VALERION ROOT,Valerian
VALTRIAN HCT,Valerian
VLERIAN ROOT,Valerian
WHEAT,Wheat grass
WHEATGRASS,Wheat grass
WHEAT GRASS,Wheat grass
BARLEY,Barley grass
HORDEUM VULGARE,Barley grass
BARLEY.,Barley grass
BARLEY GRASS,Barley grass
BARLEY GREEN,Barley grass
YOHIMBEX,Yohimbe
ACV,Apple cider vinegar
ACV PLUS WITH GREEN TEA,Apple cider vinegar
APPLE CIDAR VINEGAR,Apple cider vinegar
APPLE CIDAR VINEGAR SUPPLEMENTS,Apple cider vinegar
APPLE CIDAR VINIGAR,Apple cider vinegar
APPLE CIDER,Apple cider vinegar
APPLE CIDER AND VINEGAR TABLETS,Apple cider vinegar
APPLE CIDER CAP,Apple cider vinegar
APPLE CIDER PECTIN PILLS,Apple cider vinegar
APPLE CIDER TABS,Apple cider vinegar
APPLE CIDER VIEGAR CAPSULES,Apple cider vinegar
APPLE CIDER VINAGER,Apple cider vinegar
APPLE CIDER VINEAGAR,Apple cider vinegar
APPLE CIDER VINEGAR + GREEN TEA SUPPLEMENT,Apple cider vinegar
APPLE CIDER VINEGAR AND LAVENDER,Apple cider vinegar
APPLE CIDER VINEGAR PLUS BROMELAIN AN.,Apple cider vinegar
APPLE CIDER VINEGAR PLUS CHROMIUM,Apple cider vinegar
APPLE CIDER VINEGAR TEA,Apple cider vinegar
APPLE CIDER VINEGAR W/GINGER CAYENNE +MAPLE,Apple cider vinegar
APPLE CIDER VINEGAR WITH GRAPEFRUIT EXTRACT,Apple cider vinegar
APPLE CIDER VINEGAR WITH HONEY,Apple cider vinegar
APPLE CIDER VINGEGAR,Apple cider vinegar
APPLE CIDER VINGER,Apple cider vinegar
APPLE CIDER VINIGAR,Apple cider vinegar
APPLE CIDER VNEGAR,Apple cider vinegar
APPLE CIGER VINEGAR,Apple cider vinegar
APPLE VINEGAR,Apple cider vinegar
APPLECIDER VINEGAR,Apple cider vinegar
BONE BROTH APPLE CIDER VINEGAR,Apple cider vinegar
LEMON HONEY MOTHERS APPLE CIDER VINEGAR DRINKS,Apple cider vinegar
ORGANIC APPLE CIDER VINEGAR AND LOCAL HONEY,Apple cider vinegar
RED APPLE CIDER VINEGAR,Apple cider vinegar
VITAMIN C WITH APPLE CIDER VINEGAR AND APPLE JUICE,Apple cider vinegar
CIDER VINAGER,Apple cider vinegar
CIDER VINGER,Apple cider vinegar
"ELIXIR AMAIGRISSANT (CIDER VINEGAR, CHICORY, ROYAL JELLY, MEADOW SWEET",Apple cider vinegar
"LECITHIN, KELP AND CIDER VINEGAR COMPLEX",Apple cider vinegar
RAW CIDER VINEGAR,Apple cider vinegar
BLACK CUMIN,Black cumin
BLACK CUMIN ELIXIR(OTHER THERAPEUTIC PRODUCTS),Black cumin
BLACK CUMIN OIL,Black cumin
BLACK CUMIN SEED,Black cumin
BLACK CUMIN SEED OIL,Black cumin
CUMIN SEED OIL,Black cumin
NIGELLA,Black cumin
NIGELLA SATIVA,Black cumin
BLACK SEED [NIGELLA SATIVA SEED],Black cumin
ASCORBIC ACID;BOSWELLIA SERRATA RESIN;CHONDROITIN SULFATE;COLLAGEN;GLU,Boswellia
BORON;BOSWELLIA SERRATA;CHONDROITIN SULFATE;COLLAGEN;CURCUMA LONGA RHI,Boswellia
BOSWELIA SERRATA,Boswellia
BOSWELL SERATA,Boswellia
BOSWELLA EXTRACT,Boswellia
BOSWELLA SERRATA,Boswellia
BOSWELLI SERRATA DE,Boswellia
BOSWELLIA EXTRACT,Boswellia
BOSWELLIA SACRA,Boswellia
BOSWELLIA SE,Boswellia
BOSWELLIA SERRATA,Boswellia
BOSWELLIA SERRATA (GLUCOSATRIN),Boswellia
BOSWELLIA SERRATA EXTRACT (BOSWELLIA SERRATA EXTRACT),Boswellia
BOSWELLIA SERRATA EXTRACT (RESIN),Boswellia
BOSWELLIA SERRATA GUM,Boswellia
BOSWELLIA SERRATA GUM OLEORESIN;CURCUMIN;PIPE,Boswellia
BOSWELLIA SERRATA GUM W/CETYL MYRISTOLEATE/CH,Boswellia
BOSWELLIA SERRATA GUM W/CETYL MYRISTOLEATE/CHONDROITIN SULFATE/CURCUMA,Boswellia
BOSWELLIA SERRATA GUM;BROMELAINS;CURCUMA LONGA ROOT;PICRORHIZA KURROA,Boswellia
BOSWELLIA SERRATA OIL W/BROMELAINS/COLLAGEN/G,Boswellia
BOSWELLIA SERRATA RESIN EXTRACT,Boswellia
BOSWELLIA SERRATA W/BROMELAINS/CALCIUM ASCORBATE/CALCIUM OROTATE/CHOND,Boswellia
BOSWELLIA SERRATA W/CHONDROITIN SUL,Boswellia
BOSWELLIA SERRATA W/CHONDROITIN SUL/07956901/,Boswellia
BOSWELLIA SERRATA W/COLECALCIFEROL/GLUCOSAMIN,Boswellia
BOSWELLIA SERRATA W/CURCUMA LONGA RHIZOME/GLU,Boswellia
BOSWELLIA SERRATA+CHONDROITIN SULFATE+CITRUS BIOFLAVONOIDS+COLLAGEN+DI,Boswellia
BOSWELLIA SERRATA/CURCUMA LONGA/DL-PHENYLALANINE/NATTOKINASE,Boswellia
BOSWELLIA SERRATA/CURCUMA LONGA/DL?PHENYLALANINE/NATTOKINASE,Boswellia
BOSWELLIA SERRATA;CHONDROITIN,Boswellia
BOSWELLIA SERRATA;COLECALCIFEROL;CURCUMA LONGA RHIZOME;GLUCOSAMINE SUL,Boswellia
BOSWELLIA SERRATA;CURCUMA LONGA;DL-PHENYLALANINE;NATTOKINASE,Boswellia
BOSWELLIA SERRATA;CURCUMA LONGA;DL?PHENYLALANINE;NATTOKINASE,Boswellia
BOSWELLIA SERRATA;GLUCOSAMINE,Boswellia
BOSWELLIA SERRATA;GLUCOSAMINE [DIETARY SUPPLEMENT],Boswellia
"CUCURAMIN (BOSWELLIA SERRATA, CURCUMA LONGA, DI-PHENYLALANINE, NATTOKINASE)",Boswellia
GLUCOSAMINE WITH BOSWELLIA SERRATA (DIETARY SUPPLEMENT\HERBALS),Boswellia
NUTRIENTS NOS/CURCUMA LONGA ROOT WITH RHIZOME/BOSWELLIA SERRATA GUM,Boswellia
OSTEO BI-FLEX [ASCORBIC ACID;BOSWELLIA SERRATA RESIN;CHONDROITIN S,Boswellia
OSTEO BI-FLEX [ASCORBIC ACID;BOSWELLIA SERRATA RESIN;CHONDROITIN SULFA,Boswellia
OSTEO BI?FLEX [ASCORBIC ACID;BOSWELLIA SERRATA RESIN;CHONDROITIN SULFA,Boswellia
INDIAN FRANKINCENSE,Boswellia
CHLORELLA PILLS,Chlorella
CHLORELLA (CHLORELLA VULGARIS),Chlorella
CHLORELLA ALGEN,Chlorella
CHLORELLA VULGARIS,Chlorella
CHLORELLA VULGARIS (CHLORELLA VULGARIS),Chlorella
CHLORELLA [CHLORELLA VULGARIS],Chlorella
CHLORELLA SPP.,Chlorella
